,conversation
101,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
102,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
103,"Yes, and we're very excited about it."
104,"Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day."
105,"Okay, sure."
106,"Hey Pheebs, you wanna help?"
107,"Oh, I wish I could, but I don't want to."
108,"The Subway, Phoebe is singing for change.]"
109,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...ohhh!"
110,"Ross's Apartment, the guys are there assembling furniture.]"
111,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
112,I'm thinking we've got a bookcase here.
113,It's a beautiful thing.
114,What's this?
115,I would have to say that is an 'L'-shaped bracket.
116,Which goes where?
117,I have no idea.
118,Done with the bookcase!
119,All finished!
120,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
121,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
122,"Yes, please don't spoil all this fun."
123,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
124,You guys.
125,"Oh, God."
126,You got screwed.
127,Oh my God!
128,"A Restaurant, Monica and Paul are eating.]"
129,Oh my God!
130,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
131,"My brother's going through that right now, he's such a mess. How did you get through it?"
132,"Well, you might try accidentally breaking something valuable of hers, say her-"
133,-leg?
134,"That's one way! Me, I- I went for the watch."
135,"You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
136,"Ooh, steer clear of you."
137,That's right.
138,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me.  And not that I have any idea who me is right now, but you just have to give me a chance too..."
139,Ross's Apartment; Ross is pacing while Joey and Chandler are working on some more furniture.]
140,I'm divorced!  I'm only 26 and I'm divorced!
141,Shut up!
142,You must stop!
143,That only took me an hour.
144,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!"
145,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
146,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
147,I honestly don't know if I'm hungry or horny.
148,Stay out of my freezer!
149,"Ever since she walked out on me, I, uh..."
150,"What?..... What, you wanna spell it out with noodles?"
151,"No, it's, it's more of a fifth date kinda revelation."
152,"Oh, so there is gonna be a fifth date?"
153,Isn't there?
154,"Yeah... yeah, I think there is. -What were you gonna say?"
155,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform.  ...Sexually."
156,"Oh God, oh God, I am sorry... I am so sorry..."
157,It's okay...
158,I know being spit on is probably not what you need right now. Um... how long?
159,Two years.
160,Wow! I'm-I'm-I'm glad you smashed her watch!
161,"So you still think you, um... might want that fifth date?"
162,"...Yeah. Yeah, I do."
163,"Monica's Apartment, Rachel is watching Joanne Loves Chaci.]"
164,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony."
165,Oh...see... but Joanne loved Chachi! That's the difference!
166,"Ross's Apartment, they're all sitting around and talking.]"
167,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
168,"Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man,"
169,"Angela's the screamer, Andrea has cats."
170,Right.  Thanks.  It's June.  I'm outta here.
171,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
172,"Monica's Apartment, Rachel is making coffee for Joey and Chandler.]"
173,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
174,That is amazing.
175,Congratulations.
176,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
177,"If can invade Poland, there isn't anything I can't do."
178,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry..."
179,"Oh good, Lenny and Squigy are here."
180,Morning. Good morning.
181,Morning.
182,"Morning, Paul."
183,"Hello, Paul."
184,"Hi, Paul, is it?"
185,Thank you!  Thank you so much!
186,Stop!
187,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
188,We'll talk later.
189,Yeah.  Thank you.
190,That wasn't a real date?! What the hell do you do on a real date?
191,"Shut up, and put my table back."
192,Okayyy!
193,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
194,"So, like, you guys all have jobs?"
195,"Yeah, we all have jobs. See, that's how we buy stuff."
196,"Yeah, I'm an actor."
197,Wow! Would I have seen you in anything?
198,I doubt it. Mostly regional work.
199,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
200,"Look, it was a job all right?"
201,"'Look, Gippetto, I'm a real live boy.'"
202,I will not take this abuse.
203,"You're right, I'm sorry.  ""Once I was a wooden boy, a little wooden boy..."""
204,"You should both know, that he's a dead man.  Oh, Chandler?"
205,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
206,I can see that. You look like you slept with a hanger in your mouth.
207,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
208,"Oh, yeah."
209,"Well, it's like that. With feelings."
210,Oh wow. Are you in trouble.
211,Big time!
212,Want a wedding dress?   Hardly used.
213,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
214,"Oh, look, wish me luck!"
215,What for?
216,I'm gonna go get one of those  job things.
217,"Iridium, Monica is working as Frannie enters.]"
218,"Hey, Monica!"
219,"Hey Frannie, welcome back! How was Florida?"
220,"You had sex, didn't you?"
221,How do you do that?
222,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex!  So? Who?"
223,You know Paul?
224,"Paul the Wine Guy? Oh yeah, I know Paul."
225,You mean you know Paul like I know Paul?
226,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
227,"Central Perk, everyone but Rachel is there.]"
228,Of course it was a line!
229,"Why?! Why? Why, why would anybody do something like that?"
230,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
231,I hate men!  I hate men!
232,"Oh no, don't hate, you don't want to put that out into the universe."
233,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
234,"All right, c'mere, gimme your feet."
235,"I just thought he was nice, y'know?"
236,I can't believe you didn't know it was a line!
237,Guess what?
238,You got a job?
239,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
240,And yet you're surprisingly upbeat.
241,"You would be too if you found John and David boots on sale, fifty percent off!"
242,"Oh, how well you know me..."
243,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
244,How'd you pay for them?
245,"Uh, credit card."
246,And who pays for that?
247,Um... my... father.
248,"Monica and Rachel's, everyone is sitting around the kitchen table.   Rachel's credit cards are spread out on the table along with a pair of scissors.]"
249,"Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want."
250,"C'mon, you can't live off your parents your whole life."
251,I know that. That's why I was getting married.
252,"Give her a break, it's hard being on your own for the first time."
253,Thank you.
254,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
255,The word you're looking for is 'Anyway'...
256,"All right, you ready?"
257,"No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute?""  Come on, I can't do this!"
258,"You can, I know you can!"
259,I don't think so.
260,"Come on, you made coffee!   You can do anything!"
261,"C'mon, cut. Cut, cut, cut,..."
262,"Cut, cut, cut, cut, cut, cut, cut..."
263,Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...
264,Rachel!  That was a library card!
265,"Cut, cut, cut, cut, cut, cut, cut.."
266,"Y'know, if you listen closely, you can hear a thousand retailers scream."
267,Welcome to the real world! It sucks. You're gonna love it!
268,"Well, that's it  You gonna crash on the couch?"
269,"No. No, I gotta go home sometime."
270,You be okay?
271,Yeah.
272,"Hey Mon, look what I just found on the floor.  What?"
273,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
274,Goodnight.
275,"Mmm.  Oh, no-"
276,Sorry-
277,"No no no, go-"
278,"No, you have it, really, I don't want it-"
279,Split it?
280,Okay.
281,"Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
282,I knew.
283,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
284,I did.
285,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
286,"Yeah, maybe..."
287,"Okay... okay, maybe I will..."
288,Goodnight.
289,Goodnight.
290,"See ya.... Waitwait, what's with you?"
291,I just grabbed a spoon.
292,"Central Perk, everyone is there.]"
293,I can't believe what I'm hearing here.
294,I can't believe what I'm hearing here...
295,What? I-I said you had a-
296,What I said you had...
297,Would you stop?
298,"Oh, was I doing it again?"
299,Yes!
300,"I said that you had a nice butt, it's just not a great butt."
301,"Oh, you wouldn't know a great butt if it came up and bit ya."
302,There's an image.
303,Would anybody like more coffee?
304,"Did you make it, or are you just serving it?"
305,I'm just serving it.
306,"Yeah. Yeah, I'll have a cup of coffee."
307,"Kids, new dream... I'm in Las Vegas."
308,"Ahh, miss?   More coffee?"
309,"Ugh.  Excuse me, could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.  Okay, Las Vegas."
310,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
311,"What you guys don't understand is, for us, kissing is as important as any part of it."
312,"Yeah, right!.......Y'serious?"
313,"Oh, yeah!"
314,Everything you need to know is in that first kiss.
315,Absolutely.
316,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
317,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
318,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
319,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
320,....Are we still talking about sex?
321,"Museum of Prehistoric History, Ross and a co-worker  are setting up an exhibit which includes some mannequins of cave people.]"
322,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
323,"Well, she has issues."
324,Does she.
325,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
326,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
327,"Speaking of issues, isn't that your ex-wife?"
328,No. No.
329,"Yes, it is. Carol! Hi!"
330,"Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age."
331,Hi.
332,So.
333,"You look great. I, uh... I hate that."
334,Sorry. You look good too.
335,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
336,A lesbian?
337,"Well... you never know. How's, um.. how's the family?"
338,"Marty's still totally paranoid. Oh, and, uh-"
339,"Why- why are you here, Carol?"
340,I'm pregnant.
341,Pregnant?!
342,"Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's Company.]"
343,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
344,...Then I've already seen this one!
345,Are you through with that?
346,"Yeah, sorry, the swallowing slowed me down."
347,Whose little ball of paper is this?!
348,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead."
349,"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!"
350,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
351,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
352,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
353,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
354,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
355,"Ew, ew, ew, ew ew ew ew ew!"
356,What?
357,Ugly Naked Guy got a Thighmaster!
358,Eeaagh!
359,Has anybody seen my engagement ring?
360,"Yeah, it's beautiful."
361,"Oh God, oh God, oh God oh God oh God oh God...."
362,"No, look, don't touch that!"
363,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
364,"Easy Rach, we'll find it.  Won't we!"
365,Oh! Yeah!
366,"Alright, when'd'ya have it on last?"
367,Doy! Probably right before she lost it!
368,You don't get a lot of 'doy' these days...
369,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
370,...Dinah?
371,"Ohhhhh, don't be mad..."
372,You didn't.
373,"Oh, I am sorry..."
374,I gave you one job!
375,"Oh, but look how straight those noodles are!"
376,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
377,I just... can't do it.
378,Boys? We're going in.
379,.....Hi.
380,Wow. That is not a happy hi.
381,Carol's pregnant.
382,Ooh! I found it!
383,W-w-wh-... wha-... w-w-w-...
384,"Yeah. Do that for another two hours, you might be where I am right about now."
385,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
386,"Well now, how-how do you fit into this whole thing?"
387,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
388,She is so great! I miss her.
389,What does she mean by 'involved'?
390,"I mean presumably, the biggest part of your job is done."
391,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
392,So what are you gonna do?
393,"I have no idea. No matter what I do, though, I'm still gonna be a father."
394,".....Well, this is still ruined, right?"
395,"Oh, Martha Ludwin's daughter is gonna call you.  Mmm! What's that curry taste?"
396,Curry.
397,Mmmm!
398,"I- I think they're great! I, I really do."
399,"Do you remember the Ludwins? The big one had a thing for you, didn't she?"
400,They all had a thing for him.
401,"Aw, Mom..."
402,"I'm sorry, why is this girl going to call me?"
403,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-"
404,"No Mom, I don't have a restaurant, I work in a restaurant."
405,"Well, they don't have to know that..."
406,"Ross, could you come and help me with the spaghetti, please?"
407,Yeah.
408,"Oh, we're having spaghetti! That's.... easy."
409,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
410,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
411,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
412,"Well, at least she had the chance to leave a man at the altar..."
413,What's that supposed to mean?
414,Nothing! It's an expression.
415,No it's not.
416,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
417,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer."
418,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
419,"So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?"
420,"Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
421,And you knew about this?!
422,"Central Park, everyone's there.]"
423,"Your folks are really that bad, huh?"
424,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
425,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours."
426,Must pee.
427,"Y'know, it's even worse when you're twins."
428,You're twins?
429,"Yeah. We don't speak. She's like this high-powered, driven career type."
430,What does she do?
431,She's a waitress.
432,"All right, you guys, I kinda gotta clean up now."
433,"Chandler, you're an only child, right? You don't have any of this."
434,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
435,"The lights, please.."
436,...How long was I in there?
437,I'm just cleaning up.
438,D'ya.. uh.. d'ya need any help?
439,"Uh.. okay, sure! Thanks!"
440,"Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?"
441,Oh.. a little..
442,Mm-hmm..
443,A lot.
444,Mm.
445,"So, got any advice? Y'know, as someone who's recently been- dumped?"
446,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
447,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
448,Got me.
449,Remember when we were in high school together?
450,Yeah.
451,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?"
452,"Yes, yes!"
453,"Oh! Man, I never thought I'd be here.."
454,Me either...
455,"Carol's OB/GYN, Carol is waiting.]"
456,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
457,Hi.
458,"Ross, you remember Susan."
459,How could I forget?
460,Ross.
461,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?"
462,Dr. Oberman.
463,..Dr. Oberman. Okay. And is he-
464,She.
465,"-she, of course, she- uh- familiar with our.. special situation?"
466,"Yes, and she's very supportive."
467,"Okay, that's great.  No, I'm- Oh."
468,Thanks.
469,"Quack, quack.."
470,Ross? That opens my cervix.
471,Barry?
472,C'mon in.
473,Are you sure?
474,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
475,Huh?!
476,"So, how ya doin?"
477,I'm- uh- I'm okay... You look great!
478,"Yeah, well.."
479,"Dr. Farber, Jason Greenstein's gagging."
480,Be right there.  Be back in a sec.
481,I dumped him.
482,Okay.
483,"Carol's OB/GYN, they're talking about how this is going to work.]"
484,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
485,Give me a 'for instance'.
486,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
487,Marlon-
488,Marlon?!
489,"-if it's a boy, Minnie if it's a girl."
490,...As in Mouse?
491,As in my grandmother.
492,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
493,Julia..
494,We agreed on Minnie.
495,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
496,"Barry's office, Rachel is doing her makeup in the mirror on Barry's lamp as Barry enters.]"
497,Sorry about that. So. What have you been up to?
498,"Oh, not much. I-I got a job."
499,"Oh, that's great."
500,Why are- why are you so tanned?
501,"Oh, I, uh- I went to Aruba."
502,Oh no. You went on our honeymoon alone?
503,"No. I went with, uh.. Now, this may hurt."
504,Me?!
505,No!  I went with Mindy.
506,"Mindy?! My maid of honour, Mindy?!"
507,"Yeah, well, uh, we're kind of a thing now."
508,"Oh! Well, um..  You've got plugs!"
509,Careful! They haven't quite taken yet.
510,And you've got lenses! But you hate sticking your finger in your eye!
511,"Not for her. Listen, I really wanted to thank you."
512,Okay..
513,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
514,Wow.
515,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
516,What?
517,Me.
518,"Anyway, um,  I guess this belongs to you. And thank you for giving it to me."
519,"Well, thank you for giving it back."
520,Hello?!
521,"Carol's OB/GYN, they're still arguing about what to name the baby.]"
522,"Oh, please! What's wrong with Helen?"
523,Helen Geller? I don't think so.
524,Hello? It's not gonna be Helen Geller.
525,Thank you!
526,"No, I mean it's not Geller."
527,"What, it's gonna be Helen Willick?"
528,"No, actually, um, we talked about Helen Willick-Bunch."
529,"Well, wait a minute, wha- why is she in the title?"
530,It's my baby too.
531,"Oh, 's'funny, really? Um, I don't remember you making any sperm."
532,"Yeah, and we all know what a challenge that is!"
533,"All right, you two, stop it!"
534,"No no no, she gets a credit, hey, I'm in there too."
535,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
536,"Of course not, I'm... suggesting Geller-Willick-Bunch."
537,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!"
538,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-"
539,Knock knock!How are we today? Any nausea?
540,Yeah. Yeah. A little.
541,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing.  Uh, lie back.."
542,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now."
543,Oh my God.
544,Look at that.
545,I know.
546,"Monica and Rachel's apartment, everyone is watching the tape of the sonogram.   Rachel is on the phone.]"
547,Well? Isn't that amazing?
548,What are we supposed to be seeing here?
549,"I dunno, but.. I think it's about to attack the Enterprise."
550,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato."
551,"Then don't do that, alright?"
552,Okay!
553,Monica. Whaddya think?
554,Mm-hmm.
555,Wh- are you welling up?
556,No.
557,"You are, you're welling up."
558,Am not!
559,You're gonna be an aunt.
560,Oh shut up!
