,Character,Dialog
273,BRUCE BANNER,Dab!
274,STEVE ROGERS,Bruce.
275,BRUCE BANNER,Listen to your Mom. She knows better.
276,STEVE ROGERS,About we were saying...
277,BRUCE BANNER,"Right. The whole time travel do-over? Guys, it's outside my area of expertise."
278,NATASHA ROMANOFF,"Well, you pulled this off. I remember a time when that seemed pretty impossible time, too."
279,TONY STARK,"Look at a mod inspiration, let me see what check out. So, recommend one last sim before we pack it in for the night. This time, in the shape of a mobius strip, inverted, please."
280,F.R.I.D.A.Y,Processing...
281,TONY STARK,"Give me that eigenvalue. That, particle factoring, and a spectral decomp. That will take a second."
282,F.R.I.D.A.Y,Just a moment.
283,TONY STARK,And don't worry if it doesn't pan out. I'm just kinda -
284,F.R.I.D.A.Y,Model rendered.
285,TONY STARK,Shit!
286,MORGAN STARK,Shit.
287,TONY STARK,"What are you doing up, little mess?"
288,MORGAN STARK,Shit.
289,TONY STARK,"No, we don't say that. Only Mommy says that word. She coined it, it belongs to her."
290,MORGAN STARK,Why you up?
291,TONY STARK,"'Cause I got some important shit going on here.  What do you think? No, I got something on my mind. I got something on my mind."
292,MORGAN STARK,Was it Juice Pops?
293,TONY STARK,"Sure was. That's extortion. Great minds think alike. Juice Pops, exactly was on...  my mind."
294,TONY STARK,"You done? Yeah, now you are.  That face goes there."
295,MORGAN STARK,Tell me a story.
296,TONY STARK,"A story... Once upon a time, Maguna went to bed. The end."
297,MORGAN STARK,That's a horrible story.
298,TONY STARK,"Come on, that's your favorite story. I love you tons."
299,MORGAN STARK,I love you 3000.
300,TONY STARK,"Go to bed. Or I'll sell all your toys. Night, night."
301,TONY STARK,"Not that it's a competition, but she loves me 3000. You were somewhere on the low 6 to 900 range."
302,TONY STARK,What are you reading?
303,PEPPER POTTS,"Oh, it's just a book on composting."
304,TONY STARK,What's new with composting?
305,PEPPER POTTS,Just -
306,TONY STARK,"I figured it out, by the way."
307,PEPPER POTTS,"You know, just so we're talking about the same thing -"
308,TONY STARK,Time travel.
309,PEPPER POTTS,"What? Wow... That's amazing, and... terrifying."
310,TONY STARK,That's right.
311,PEPPER POTTS,We got really lucky.
312,TONY STARK,"Yeah, I know."
313,PEPPER POTTS,A lot of people didn't.
314,TONY STARK,"No, I can't help everybody."
315,PEPPER POTTS,It sort a seems like you can.
316,TONY STARK,"Not if I stop. I can put a pin in it right now, and stop."
317,PEPPER POTTS,"Tony, trying to get you to stop has been one of the few failures of my life."
318,TONY STARK,I sometimes feel I should put it in a locked box and drop it at the bottom of a lake... go to bed.
319,PEPPER POTTS,But would you be able to rest?
320,BRUCE BANNER,"Okay, here we go. Time travel test number one. Scott, fire up the uhhh... the van thing."
321,STEVE ROGERS,"Breakers are set, emergency generators are on standby."
322,BRUCE BANNER,"Good. 'Cause if we blow the grid, I don't wanna lose Tiny here in the 1950's."
323,SCOTT LANG,Excuse me?
324,NATASHA ROMANOFF,He's kidding.  You can't say things like that!
325,BRUCE BANNER,Just... It was a bad joke.
326,NATASHA ROMANOFF,"You were kidding, right?"
327,BRUCE BANNER,"We're good! Get your helmet on, Scott. I'm gonna send you back a week, let you walk around for an hour, then bring you back in 10 seconds. Makes sense?"
328,SCOTT LANG,Perfectly not confusing
329,STEVE ROGERS,"Good luck, Scott. You got this."
330,SCOTT LANG,"You're right. I do, Captain America."
331,BRUCE BANNER,On the count of three. 3... 2... 1!
332,TEEN SCOTT LANG,"Uh, guys? This...this doesn't feel right."
333,STEVE ROGERS,What is this?
334,BRUCE BANNER,What's going on?
335,NATASHA ROMANOFF,That...who is that?
336,BRUCE BANNER,Hold on.
337,NATASHA ROMANOFF,Is that Scott?
338,TEEN SCOTT LANG,"Yes, it's Scott!"
339,OLD SCOTT LANG,Ow! My back!
340,STEVE ROGERS,What is this?
341,BRUCE BANNER,Can I get a little space here.
342,STEVE ROGERS,Yeah yeah. Can you bring him back?
343,BRUCE BANNER,I'm working on it!
344,STEVE ROGERS,It's a baby.
345,BRUCE BANNER,It's Scott.
346,STEVE ROGERS,As a baby!
347,BRUCE BANNER,He'll grow.
348,STEVE ROGERS,Bring Scott back!
349,BRUCE BANNER,"When I say kill the power, kill the power."
350,NATASHA ROMANOFF,Oh my god.
351,BRUCE BANNER,And... Kill it!
352,SCOTT LANG,Somebody peed my pants.
353,NATASHA ROMANOFF,Oh thank god.
354,SCOTT LANG,"But I don't know if it was ""baby"" me or ""old"" me...Or just ""me"" me."
355,BRUCE BANNER,Time travel!
356,BRUCE BANNER,What? I..I see this as an absolute win!
357,TONY STARK,Why the long face? Let me guess: He turned into a baby.
358,STEVE ROGERS,"Among other things, yeah. What are you doing here?"
359,TONY STARK,"That's the EPR Paradox. Instead of pushing Lang through time, you might've wound up pushing time through Lang. It's tricky. Dangerous. Somebody should've cautioned you against it."
360,STEVE ROGERS,You did.
361,TONY STARK,"Oh, did I?  Turns out, resentment is corrosive, and I hate it."
362,STEVE ROGERS,Me too.
363,TONY STARK,"We got a shot at getting these stones, but I gotta tell you my priorities: Bring back what we lost? I hope, yes. Keep what I got? I have to, at all costs. And... maybe not die trying will be nice."
364,STEVE ROGERS,Sounds like a deal.
365,STEVE ROGERS,Tony...
366,TONY STARK,"Why? He made it for you.  Plus, honestly I have to get it out of the garage before Morgan takes it sledding."
367,STEVE ROGERS,"Thank you, Tony."
368,TONY STARK,"Will you keep that a little quiet? Didn't bring one for the whole team.  ...We are getting the whole team, yeah?"
369,STEVE ROGERS,We're working on that right now.
370,ROCKET,"Hey, humie! Where's Big Green?"
371,SCOTT LANG,"Uh, Kitchen, I think.  That's awesome."
372,NEBULA,"Rhodey, careful on re-entry. There's an idiot on the landing zone."
373,SCOTT LANG,"Oh, God!"
374,RHODEY,"What's up, regular sized man?"
375,ROCKET,Kind of a step down from a from a golden palace for an Avenger highness and whatnot.
376,BRUCE BANNER,"Hey, have a little compassion, pal. First they've lost Asgard, then half the people. They're probably just happy to have a home."
377,VALKYRIE,You shouldn't have come!
378,BRUCE BANNER,"Ah, Valkyrie! Great to see you, Angry Girl."
379,VALKYRIE,I think I liked you better either of the other ways.
380,BRUCE BANNER,This is Rocket.
381,ROCKET,How you doin'?
382,VALKYRIE,He won't see you.
383,BRUCE BANNER,"That bad, huh?"
384,VALKYRIE,"We only see him once a month, when he comes for...  ... supplies."
385,BRUCE BANNER,It's that bad.
386,VALKYRIE,Yeah.
387,ROCKET,What the...  Woo! Something died in here.
388,BRUCE BANNER,Hello? Thor?
389,THOR,Are you here about the cable?
390,THOR,"The Cinemax ran out about two weeks ago, and the sports were all kind of fuzzy."
391,BRUCE BANNER,Thor?
392,ROCKET,"No, I'm good. I'm good. That's not necessary."
393,THOR,"Hulk, you know my friends, Miek, Korg, right?"
394,KORG,Hey boys!
395,BRUCE BANNER,"Hey guys, long time no see."
396,KORG,"Beer's on the bucket. Feel free to log on to the Wi-Fi. No password, obviously.  Thor, he's back. The kid on the TV that called me a dickhead again."
397,THOR,NoobMaster.
398,KORG,"Yeah, NoobMaster69 called me a dickhead."
399,THOR,"Noobmaster? Yeah, it's Thor again. You know, the God of Thunder? Listen, buddy. If you don't log off this game immediately, I am gonna fly over to your house, come down to that basement you're hiding in, rip off your arms AND SHOVE THEM UP YOUR BUTT!!! Oh, that's right. Yes, go cry to your father, you little weasel!"
400,KORG,"Thank you, Thor."
401,THOR,"Let me know if he bothers you again, okay?"
402,KORG,Thank you very much. I will.
403,THOR,"So you guys want a drink? What are you drinking? We have beer, tequila, all sorts of things."
404,BRUCE BANNER,"Buddy, you all right?"
405,THOR,"​​​​​​Yes, I'm fine! Why, don't I look all right?"
406,ROCKET,You look like melted ice cream.
407,THOR,"So, what's up?"
408,BRUCE BANNER,We need your help. There might be a chance we could fix everything.
409,THOR,"What, like the cable?  Cause that's been driving me bananas for weeks."
410,BRUCE BANNER,Like Thanos.
411,THOR,Don't say that name.
412,KORG,"Um, yeah. We don't actually say that name in here."
413,BRUCE BANNER,"Now, I know that... guy might scare you."
414,THOR,"Why would I be? Why would, why would I be scared of that guy? I'm the one who killed that guy, remember? Anyone else here killed that guy? Nope. Didn't think so. Korg, why don't you, tell everybody who chopped Thanos' big head off."
415,KORG,Umm... Stormbreaker?
416,THOR,"Now, who's swingin' Stormbreaker?"
417,BRUCE BANNER,"I get it. You're in a rough spot, okay? I've been there myself. You wanna know who helped me out of it?"
418,THOR,I don't know. Is it... Natasha?
419,BRUCE BANNER,It was you. You helped me.
420,THOR,"The ones that are left, anyway."
421,BRUCE BANNER,I think we can bring them back.
422,THOR,"Stop. stop, okay?  I know you think I'm down here wallowing in my own self-pity, waiting to be rescued and and saved. But I'm fine, okay? We're fine, aren't we?"
423,KORG,"Nah, all good here, mate."
424,THOR,"So, whatever it is that you're offering, we're not into it, don't care, couldn't care less. Goodbye."
425,BRUCE BANNER,"We need you, pal."
426,ROCKET,There's beer on the ship.
427,THOR,What kind?
428,[SCREEN TITLE,TOKYO]
429,THUG #1,あいつだ! アキヒコさんを！
430,AKIHIKO,てめえ なぜこんなことをする? 俺たちてめえになにもしてねぇだろ！
431,RONIN,地球の半分 サノスにやられた... お前はなぜ無事なの…
432,RONIN,お前はもう十分殺しただろ You're done hurting people.
433,AKIHIKO,
434,AKIHIKO,死ね!
435,AKIHIKO,待て! 助けてくれ! お前に何でもやる! 何が欲しい?
436,RONIN,What I want... You can't give me.
437,CLINT BARTON,You shouldn't be here.
438,NATASHA ROMANOFF,Neither should you.
439,CLINT BARTON,I've got a job to do.
440,NATASHA ROMANOFF,Is that what you're calling this? Killing all these people isn't gonna bring your family back.
441,NATASHA ROMANOFF,"We found something. A chance, maybe..."
442,CLINT BARTON,Don't...
443,NATASHA ROMANOFF,Don't what?
444,CLINT BARTON,...don't give me hope.
445,NATASHA,I'm sorry I couldn't give it to you sooner.
446,TONY STARK,"Ratchet, How's it going?"
447,ROCKET,"It's Rocket. Take it easy. You're only a genius on Earth, pal."
448,RHODEY,Time travel suit? Not bad.
449,SCOTT LANG,"Hey, hey, hey! Easy, easy!"
450,BRUCE BANNER,I'm being very careful.
451,SCOTT LANG,"No, you're being very Hulky."
