,Character,Dialog
107,JARVIS,"Sir, please may I request just a few hours to calibrate..."
108,Tony Stark,No. Forty-eight.  Ah! Micro-repeater implanting sequence complete.
109,JARVIS,"As you wish, sir. I've also prepared a safety briefing for you to entirely ignore."
110,Tony Stark,"Which I will. Right, let's do this."
111,Tony Stark,"Dummy. Hi, Dummy. How did you get that cap on your head? You earned it."
112,Tony Stark,"Hey. Hey! What are you doing round in the corner? You know what you did. Blood on my mat, handle it."
113,JARVIS,"Sir, may I remind you that you've been awake for nearly seventy-two hours."
114,Tony Stark,"Focus up, ladies. Good evening, and welcome to the birthing suite. I'm pleased to announce the imminent arrival of your bouncing, bad-ass, baby brother."
115,Tony Stark,"Start tight and go wide, stamp in time. Mark 42 autonomous prehensile propulsion suit test. Initialize sequence."
116,Tony Stark,"Jarvis, drop my needle."
117,Tony Stark,Crap.
118,Tony Stark,"Alright, I think we got this. Send 'em all."
119,Tony Stark,"Probably a little fast, slow it down. Slow it down just a..."
120,Tony Stark,...little bit.
121,Tony Stark,"Cool it, will you, Jarvis?"
122,Tony Stark,Come on. I ain't scared of you.
123,Tony Stark,I'm the best.
124,JARVIS,"As always, sir, a great pleasure watching you work."
125,Tony Stark,And I guess seventy-two hours isn't a long time between siesta's. Didn't think it could get any worse. Then I had to go and turn on the TV.
126,Tony Stark,That's when he happened.
127,The Mandarin,"Some people call me a terrorist, I consider myself a teacher. America, ready for another lesson. In 1864 in Sand Creek Colorado the U.S. military waited till the friendly Cheyenne braves all gone hunting, waited to attack and slaughter their families left behind, and claim their land. Thirty-nine hours ago the Ali Al Salem Air Base in Kuwait was attacked. I...I...I did that. A quaint military church filled with wives and children, of course. The soldiers were out on maneuvers, the braves were away. President Ellis, you continue to resist my attempts to educate you, sir. And now, you've missed me again. You know who I am, you don't know where I am, and you'll never see me coming."
128,News Reporter #1,"And now that we seem to be back, let's recap some of the frightening..."
129,News Reporter #2,American Airwaves were highjacked...
130,News Reporter #3,The nation remains on high alert...
131,News Reporter #4,All attempts to find the Mandarin have so far proved unsuccessful...
132,President Ellis,"Central to my Administration's response to this terrorist event, is a newly minted resource. I know him as Colonel James Rhodes, the American people will soon know him as the Iron Patriot."
133,Bill Maher,And how is President Ellis responding? By taking the guy they call War Machine and giving him a paint job.
134,Joan Rivers,"Same suit, but painted red, white, and blue. Look at rhat. And they also renamed him Iron Patriot. You know, just in case the paint was too subtle."
135,Colonel James Rhodes,"It tested well with focus groups, alright?"
136,Tony Stark,I am Iron Patriot...
137,Colonel James Rhodes,"Listen, War Machine was a little too aggressive, alright? This sends a better message."
138,Tony Stark,"So what's really goin' on? With Mandarin. Seriously, can we talk about this guy?"
139,Colonel James Rhodes,"It's classified information, Tony. Okay, there have been nine bombings."
140,Tony Stark,Nine.
141,Colonel James Rhodes,"The public only knows about three. Here's the thing, nobody can ID a device. There's no bomb casings."
142,Tony Stark,"You know I can help, just ask. I got a ton of new tech, I got a prehensile, I got a...I got a new bomb disposal. Catches explosions mid-air."
143,Colonel James Rhodes,When's the last time you got a good night's sleep?
144,Tony Stark,Einstein slept three hours a year. Look what he did?
145,Colonel James Rhodes,"People are concerned about you, Tony. I'm concerned about you."
146,Tony Stark,You're gonna come at me like that?
147,Colonel James Rhodes,"No. No, look, I'm not trying to be a dic..."
148,Colonel James Rhodes,...tator.
149,Erin,Do you mind signing my drawing?
150,Tony Stark,"If Richard doesn't mind.  You alright with this, Dick?"
151,Colonel James Rhodes,Fine with me.
152,Tony Stark,What's your name?
153,Erin,Erin.
154,Tony Stark,"I loved you in A Christmas Story, by the way."
155,Colonel James Rhodes,"Listen, the Pentagon is scared. After what happened in New York... aliens, come on. They need to look strong. Stopping the Mandarin is priority, but it's not..."
156,Tony Stark,"It's not superhero business, I get it."
157,Colonel James Rhodes,"No, it's not, quite frankly. It's American business."
158,Tony Stark,That's why I said I...got it.
159,Colonel James Rhodes,Are you okay?
160,Tony Stark,I broke the crayon.
161,Erin,"Are you okay, Mr. Stark?"
162,Colonel James Rhodes,Take it easy. Tony...
163,Little Boy,How did you get out of the wormhole? How did you get out of the wormhole?
164,Colonel James Rhodes,Wait a minute! Tony!
165,Tony Stark,What'd he say?!
166,Colonel James Rhodes,Tony!
167,Tony Stark,Sorry. Have to check on the suit...make sure...okay.
168,Tony Stark,"Check the heart, check the...check the...is it the brain?"
169,JARVIS,No sign of cardiac analomy or unusual brain activity.
170,Tony Stark,"Okay, so I was poisoned?"
171,Jarvis,My diagnosis is that you've experienced a severe anxiety attack.
172,Tony Stark,Me?
173,Colonel James Rhodes,"Come on, man. This isn't a good look, open up."
174,Tony Stark,"Sorry, I gotta split."
175,Happy Hogan,"Badge. Badge. Come on, badge. Badge, guys. I put a memo in the toilet, come on.  Tony has got them in his basement, they're wearing party hats. This is an asset that we can put to use."
176,Pepper Potts,"Uh-huh. So, you're suggesting that I replace the entire janitorial staff with robots?"
177,Happy Hogan,What I'm saying is that the human element of Human Resources is our biggest point of vulnerability. We should start phasing it out immediately.
178,Pepper Potts,What!?
179,Happy Hogan,"Excuse me, Bambi."
180,Pepper Potts,Did you just say that?
181,Happy Hogan,Security.
182,Pepper Potts,Happy?
183,Happy Hogan,Yes.
184,Pepper Potts,"Okay, I am thrilled that you're now the Head of Security, okay? It is the perfect position for you."
185,Happy Hogan,Thank you.
186,Pepper Potts,However...
187,Happy Hogan,I do appreciate it
188,Pepper Potts,Since you've taken the post...
189,Happy Hogan,You don't have to thank me.
190,Pepper Potts,We've had a rise in staff complaints of three hundred percent
191,Happy Hogan,Thank you.
192,Pepper Potts,That's not a compliment.
193,Happy Hogan,That's not a compli...? It is a compliment! Clearly somebody's trying to hide something.
194,Pepper Potts,I...
195,Pepper's Assistant,Excuse me.
196,Pepper Potts,Yes?
197,Pepper's Assistant,"Miss Potts, your four o'clock is here."
198,Pepper Potts,Thank you.
199,Happy Hogan,Did you clear this four o'clock with me?
200,Pepper Potts,"Happy, we'll talk about this later. But right now I have to go deal with this very annoying thing."
201,Happy Hogan,How so?
202,Pepper Potts,"I used to work with him, and he used to ask me out all the time. So it's a little awkward."
203,Happy Hogan,I don't like the sound of that.
204,Aldrich Killian,Pepper.
205,Pepper Potts,Killian?
206,Aldrich Killian,You look great. You look really great.
207,Pepper Potts,"God, you look...you look great. I... I...I can't... What on earth have you been doing?"
208,Aldrich Killian,"Nothing fancy, just five years in the hands of physical therapists. And please, call me Aldrich."
209,Happy Hogan,Uh...you were supposed to be issued a security badge.
210,Pepper Potts,"Happy, it's okay."
211,Happy Hogan,Yes?
212,Pepper Potts,We're good.
213,Happy Hogan,You sure?
214,Pepper Potts,Yes. Stand down.
215,Happy Hogan,"Okay. I'm gonna linger, right here."
216,Pepper Potts,Thank you.
217,Happy Hogan,Okay.
218,Pepper Potts,"It's very nice to see you, Killian."
219,Happy Hogan,"Hey, guy."
220,Savin,Merry Christmas.
221,Aldrich Killian,"After years dodging the President's ban on ""immoral biotech research"", my think tank now has a little something in the pipeline. It's an idea we like to call Extremis. I'm gonna turn your lights down."
222,Aldrich Killian,Regard the human brain.
223,Aldrich Killian,"Uh...wait. Hold on, hold on. That's...that's the universe, my bad. But if I do that..."
224,Aldrich Killian,"That's the brain. Strangely mimetic though, wouldn't you say?"
225,Aldrich Killian,"Thanks, it's mine."
226,Pepper Potts,What?
227,Aldrich Killian,This...you're inside my head. It's a...
228,Aldrich Killian,"It's a live feed. Come on up, I'll prove it to you."
229,Aldrich Killian,Come on.
230,Aldrich Killian,"Now, pinch my arm. I can take it. Pinch me."
231,Pepper Potts,What is that?
232,Aldrich Killian,It's the primary somatosensory cortex. It's the brain's pain center. But this is what I wanted to show you.
233,Aldrich Killian,"Now, Extremis harnesses our bioelectrical potential and it goes...here. This is essentially an empty slot, and what this tells us is that our mind, our entire DNA in fact, is destined to be upgraded."
234,Pepper Potts,Wow.
235,Happy Hogan,Hello?
236,Tony Stark,Is this forehead of Security?
237,Happy Hogan,"What? You know, look, I got a real job. What do you want? I'm working, I got something going on here."
238,Tony Stark,What? Harassing interns?
239,Happy Hogan,"Let me tell you something, you know what happened when I told people I was Iron Man's body guard? They would laugh in my face."
240,Happy Hogan,"I had to leave while I still had a shred of dignity. Now I got a real job, I'm watching Pepper."
241,Tony Stark,What's going on? Fill me in.
242,Happy Hogan,For real?
243,Tony Stark,Yeah.
244,Happy Hogan,"Alright, so she's meeting up with this scientist. Rich guy, handsome."
245,Tony Stark,Right.
246,Happy Hogan,"I couldn't make his face at first, right? You know I'm good with faces."
247,Tony Stark,"Oh, Yeah, yeah. You're the best."
248,Happy Hogan,"Yeah. Well, so I run his credentials, I make him Aldrich Killian. We actually met the guy back in... where were we in '99? The science conference?"
249,Tony Stark,Um...Switzerland.
250,Happy Hogan,"Right, right, exactly."
251,Tony Stark,"Killian? No, I don't remember that guy."
252,Happy Hogan,"Of course you don't. He's not a blond with a big rack. At first it was fine, they were talking business, but now it's like getting weird. He's showing her a big brain."
253,Tony Stark,His what?
254,Happy Hogan,"Big brain, and she likes it. Here, let me show you. Hold on. See?"
255,Tony Stark,Look at what? You watching them? Flip the screen and then we can get started.
256,Happy Hogan,"I'm not a tech genius like you. Just...just trust me, get down down here."
257,Tony Stark,"Flip the screen, then I can see what they're doing."
258,Happy Hogan,I can't! I don't know how to flip the screen! Don't talk to me like that anymore. You're not my boss.
259,Happy Hogan,"Alright, I don't work for you. Now I don't trust this guy. He's got another guy with him, he's shifty."
260,Tony Stark,Relax.
261,Happy Hogan,Seriously?
262,Tony Stark,I'm just asking you to secure the perimeter. Tell him to go out for a drink or something?
263,Happy Hogan,"You know what? You should take more of an interest in what's going on here. This woman... this woman's the best thing that ever happened to you, and you...you're just ignoring her."
264,Tony Stark,A giant brain?
265,Happy Hogan,"Yeah, there's a giant brain, there's a shifty character. I'm gonna follow this guy. I'm gonna run his plates and if it gets rough, so be it."
266,Tony Stark,"I miss you, Happy."
267,Happy Hogan,"Yeah, I miss you too. But the way it used to be. Now you're off with the 'superfriends', I don't know what's going on with you anymore. The world's getting weird..."
268,Tony Stark,"Hey, I...I'd hate to cut you off. Do you have your taser on you?"
269,Happy Hogan,Why?
270,Tony Stark,"I think there's a gal in HR who's trying to steal some printer ink, you should probably go over there and zap her."
271,Happy Hogan,"Yeah, nice."
272,Aldrich Killian,Imagine if you could hack into the hard drive of any living organism and recode its DNA.
273,Pepper Potts,It would be incredible.
274,Aldrich Killian,Mm.
275,Pepper Potts,"Unfortunately, to my ears it also sounds highly weaponizable. As in enhanced soldiers, private armies, and Tony is not..."
276,Aldrich Killian,"Tony. Tony. You know, I invited Tony to join AIM thirteen years ago, he turned me down. But something tells me now there is a new genius on the throne who doesn't have to answer to Tony anymore, and who has slightly less of an ego."
277,Pepper Potts,"It's gonna be a no, Aldrich. As much as I'd like to help you."
278,Aldrich Killian,"Well, I can't say that I'm not disappointed. But then as my father used to say, 'Failure is the fog through which we glimpse triumph.'"
279,Pepper Potts,That's very deep.
280,Aldrich Killian,Mm
281,Pepper Potts,And I have no idea what it means.
282,Aldrich Killian,"Well, me neither. He was kind of an idiot, my old man."
283,Aldrich Killian,"I'm sure I'll see you again, Pepper."
284,Pepper Potts,Happy...
285,Happy Hogan,"The car is ready, if you're ready to go."
286,Pepper Potts,"Yes. I just um... God, I forgot my... other thing, so... I'm just gonna..."
287,Pepper Potts,I'm sorry I'm late. I was... What the...? What is that?!
288,Pepper Potts,"You're wearing this in the house now? What is that, like Mark 15?"
289,Tony Stark,Uh...yeah. Something like that. You know everybody needs a hobby.
290,Pepper Potts,"Oh, and you have to wear your hobby in the living room?"
291,Tony Stark,"Just breakin' it in. You know, it's always a little pinchy in the gooey bag at first, so."
292,Tony Stark,"Oh hey, did you see your Christmas present?"
293,Pepper Potts,"Yes, I did. I...I don't know how I could have missed that Christmas present. Is it gonna fit through the door?"
294,Tony Stark,"Well actually, uh...it's a good question. I got a team of guys comin' tomorrow, they're gonna blow out that wall."
295,Pepper Potts,Okay.
296,Tony Stark,"So, uh...tense? Good day?"
297,Tony Stark,"Ooh shoulders, a little naughty. Naughty girl. I don't wanna harp on this, but did you like the custom rabbit?"
298,Pepper Potts,Did I like it?
299,Tony Stark,"Nailed it, right?"
300,Pepper Potts,Wow. I appreciate the thought very much.
301,Pepper Potts,So why don't you lift up that face mask and give me a kiss?
302,Tony Stark,"Huh. Yup, dammit. No can do. You wanna just kiss it on the..."
303,Pepper Potts,Uh-huh.
304,Tony Stark,The facial slit?
305,Pepper Potts,"Well, why don't I run down to the garage and see if I can't find a crowbar to shimmy that thing open?"
306,Tony Stark,Crowbar. Yeah.
307,Tony Stark,"Oh, except there's been a...uh...a radiation leak."
308,Pepper Potts,I'll take my chances.
309,Tony Stark,That's risky.
310,Tony Stark,At least let me get you like a Hazmat suit or a Geiger counter or something like that.
311,Tony Stark,Busted.
312,Pepper Potts,This is a new level of lame.
313,Tony Stark,Sorry.
314,Pepper Potts,"You ate without me, already? On date night?"
315,Tony Stark,He was just...
316,Pepper Potts,You mean you?
317,Tony Stark,"Well, yeah. I just mean we were just...just hosting you while I finished up a little work."
318,Pepper Potts,Uh-huh.
319,Tony Stark,"And yes, I had a quick bite. I didn't know if you were comin' home or if you were having drinks with Aldrich Killian."
320,Pepper Potts,What?
321,Tony Stark,What?
322,Pepper Potts,Aldrich Killian? What are you checking up on me?
323,Tony Stark,Happy was concerned.
324,Pepper Potts,"No, you're spying on me."
325,Tony Stark,I wasn't...
326,Pepper Potts,I'm going to bed.
327,Tony Stark,Hold on. Come on. Pep.
328,Tony Stark,"Hey, I admit it! My fault. Sorry."
329,Tony Stark,"I'm a piping hot mess. It's been going on for a while, I haven't said anything."
330,Tony Stark,Nothing's been the same since New York.
331,Pepper Potts,"Oh really? Well, I didn't notice that, at all."
332,Tony Stark,"You experience things and then they're over and you still can't explain 'em. Gods, aliens, other dimensions. I...I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in. Which is great. I love you, I'm lucky. But, honey, I can't sleep. You go to bed, I come down here. I do what I know, I tinker."
333,Tony Stark,"But threat is imminent, and I have to protect the one thing that I can't live without. That's you. My suits, they're uh..."
334,Pepper Potts,Machines.
335,Tony Stark,They're part of me.
336,Pepper Potts,A distraction.
337,Tony Stark,Maybe.
338,Pepper Potts,I'm gonna take a shower.
339,Tony Stark,Okay.
340,Pepper Potts,And you're gonna join me.
341,Tony Stark,Better.
342,Pepper Potts,Tony! Tony! Tony! Tony...
343,Tony Stark,Power down!
344,Tony Stark,"I must have called it in my sleep. That's not supposed to happen. I'll recalibrate the sensors. Can we just...just let me...just let me catch my breath, okay?"
345,Tony Stark,"Don't go, alright? Pepper?"
346,Pepper Potts,I'm going to sleep downstairs. Tinker with that.
347,Savin,Can you regulate?
348,Taggert,"Yes, I can regulate."
349,Savin,Are you sure about that?
350,Taggert,Yes.
351,Savin,It's a decent batch. Don't say I never did nothin' for you.
352,Taggert,Thank you...I mean for understanding.
353,Happy Hogan,"I'm sorry, buddy."
354,Savin,"What are you doin', buddy? You out by yourself? A little date night? Watching your favorite chick flick maybe?"
355,Happy Hogan,"Yeah, a little movie called ""The Party's Over"", starring you and your junkie girlfriend, and here's the ticket."
356,Savin,No kidding? That doesn't belong to you.
357,Taggert,Savin!
358,Savin,What?
359,Taggert,Help! Help me!
360,The Mandarin,"True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth. My disciples just destroyed another cheap American knock-off, The Chinese Theater. Mr. President, I know this must be getting frustrating, but this season of terror is drawing to a close. And don't worry, the big one is coming; your graduation."
361,Tony Stark,Hi.
362,Happy's Nurse,Oh.
363,Tony Stark,Uh...mind leaving that on?
364,Happy's Nurse,Sure.
365,Tony Stark,"Sunday night's PBS 'Downtown Abbey'. That's his show, he thinks it's elegant."
366,Hospital News Reporter,We're awaiting the arrival of Tony Stark. We're hoping he'll give us the reaction...his reaction to the latest attack.
367,Pushy Tabloid Reporter,"Hey, Mr. Stark! When is somebody gonna kill this guy? Just sayin'."
368,Tony Stark,"Is that what you want? Here's a little Holiday greeting I've been wanting to send to the Mandarin. I just didn't know how to phrase it until now. My name is Tony Stark and I'm not afraid of you. I know you're a coward, so I've decided"
369,JARVIS,"I've compiled a Mandarin database for you, sir. Drawn from S.H.I.E.L.D., F.B.I., and C.I.A. intercepts. Initiating virtual crime scene reconstruction."
370,Tony Stark,"Okay, what do we got here? His name is an ancient Chinese war mantle, meaning ""adviser to the King"". South American insurgency tactics, talks like a Baptist preacher. There's lots of pageantry going on here...lots of theater."
371,JARVIS,The heat from the blast was in excess of 3000 degrees Celsius. Any subjects within 12.5 yards were vaporized instantly.
372,Tony Stark,No bomb parts found in a three mile radius of the Chinese theater.
373,JARVIS,"No, sir."
374,Tony Stark,"Talk to me, Happy.  Any military victims?"
375,JARVIS,"Not according to public records, sir."
376,Tony Stark,"Bring up the thermogenic signatures again, factor in three thousand degrees."
377,JARVIS,The oracle cloud has completed analysis. Accessing satellites and plotting the last twelve months of thermogenic occurrence now.
378,Tony Stark,Take away everywhere that there's been a Mandarin attack.  That. You sure that's not one of his?
379,JARVIS,It predates any known Mandarin attack. The incident was the use of a bomb to assist a suicide.
380,Tony Stark,Bring her around.
381,JARVIS,The heat signature is remarkably similar. Three thousand degrees Celsius.
382,Tony Stark,"That's two military guys. Ever been to Tennessee, Jarvis?"
383,JARVIS,Creating a flight plan for Tennessee.
384,Tony Stark,"Are we still at ""ding-dong""? We're supposed to be on total security lock down. Come on, I threatened a terrorist. Who is that?"
385,JARVIS,"There's only so much I can do, sir, when you give the world's press your home address."
386,Tony Stark,"Right there's fine.  You're not the Mandarin, are you? Are you?"
387,Maya Hansen,You don't remember. Why am I not surprised?
388,Tony Stark,"Don't take it personally, I don't remember what I had for breakfast."
389,JARVIS,"Gluten-free waffles, sir."
390,Tony Stark,That's right.
391,Maya Hansen,"Okay, look, I need to be alone with you. Someplace not here, it's urgent."
392,Tony Stark,"Normally, I'd go for that sort of thing, but now I'm in a committed relationship.  It's...with her."
393,Pepper Potts,"Tony, is somebody there?"
394,Tony Stark,"Yeah, it's Maya Hansen.  Please don't tell me that there is a twelve year-old kid waiting in the car that I've never met."
395,Maya Hansen,"He's thirteen. And no, I need your help."
396,Tony Stark,What...what for? Why now?
397,Maya Hansen,"Because I read the papers, and, frankly, I don't think you'll last the week."
398,Tony Stark,I'll be fine.
399,Pepper Potts,"I'm sorry. With Happy in the hospital, I didn't know we were expecting guests."
400,Tony Stark,We weren't.
401,Maya Hansen,"No, I..."
402,Pepper Potts,And old girlfriends!
403,Tony Stark,She's not really.
404,Maya Hansen,"No, not really. It...it was just one night."
405,Tony Stark,Yep.
406,Pepper Potts,"That's how you did it, isn't it? Yep."
407,Tony Stark,It was a great night.
408,Pepper Potts,"Well, you know..."
409,Maya Hansen,Yeah.
410,Pepper Potts,You have saved yourself a world of pain.
411,Maya Hansen,I'm sure.
412,Tony Stark,What?
413,Pepper Potts,Trust me.  We're going out of town.
414,Tony Stark,"Okay, we've been through this. Nope."
415,Pepper Potts,Yep!
416,Tony Stark,The man says no.
417,Pepper Potts,Immediately and indefinitely!
418,Tony Stark,Honey...
419,Maya Hansen,Great idea. Let's go.
420,Tony Stark,I'm sorry. That's a terrible idea. Please don't touch her bags.
421,Pepper Potts,"Tony, this is how normal people behave."
422,Tony Stark,I can't protect you out there. I challenged...
423,Maya Hansen,Is...is that normal?
424,Tony Stark,"Yes, this is normal!"
425,Pepper Potts,"Sadly, that...is very normal."
426,Tony Stark,"It's a big bunny, relax about it!"
427,Pepper Potts,Calm down!
428,Tony Stark,I got this for you.
429,Pepper Potts,I'm aware of that.
430,Tony Stark,You still haven't even told me that you liked it!
431,Pepper Potts,I don't like it!
432,Tony Stark,I asked you three... You don't like it?!
433,Pepper Potts,"Tony, we are leaving the house; that's not even up for discussion."
434,Tony Stark,I said no.
435,Maya Hansen,"Guys, can we um..."
436,Tony Stark,What?
437,Maya Hansen,
438,Pepper Potts,I got you.
439,Tony Stark,"I got you first. Like I said, we can't stay here."
440,Pepper Potts,Oh my God. Tony!
441,JARVIS,"Sir, Miss Potts is clear of the structure."
442,Tony Stark,"Jarvis, where's my flight power?!"
443,JARVIS,"Working on it, sir. This is a prototype."
444,Tony Stark,That's one.
445,JARVIS,"Sir, the suit is not combat-ready."
446,Tony Stark,That's two.
447,Pepper Potts,Tony!
448,JARVIS,"Sir, take a deep breath."
449,JARVIS,Sir. Sir!
450,Tony Stark,"Alright, kill the alarm. I got it."
451,JARVIS,That's the emergency alert triggered by the power dropping below five percent.
452,Tony Stark,"It's snowing, right? Where are we, upstate?"
453,JARVIS,"We're five miles outside of Rose Hills, Tennessee."
454,Tony Stark,"Why?! Jarvis! Not my idea! What are we doing here? This is thousands of miles away, I gotta get Pepper, I gotta..."
455,JARVIS,I prepared a flight plan. This was the location.
456,Tony Stark,Who asked you? Open the suit.
457,JARVIS,"I...I think I may be malfunctioning, sir."
458,Tony Stark,Open eject.  Maybe I'll just cozy back up for a bit.
459,JARVIS,"I actually think I need to sleep now, sir."
460,Tony Stark,"Jarvis. Jarvis? Don't leave me, buddy."
461,Computer Voice,Stark Secure Server: Now transferring to all known receivers.
462,Tony Stark,"Pepper, it's me. I've got a lot of apologies to make and not a lot of time. So first off, I'm so sorry I put you in harm's way. That was selfish and stupid and it won't happen again. Also, it's Christmas time, the rabbit's too big. Done. Sorry. And I'm sorry in advance because...I can't come home yet. I need to find this guy. You gotta stay safe. That's all I know. I just stole a poncho from a wooden Indian."
463,Harley Keener,Freeze! Don't move.
464,Tony Stark,"You got me. Nice potato gun. Barrel's a little long. Between that and the wide gauge, it's gonna diminish your FPS.  And now you're out of ammo."
465,Harley Keener,What's that thing on your chest?
466,Tony Stark,"It's a electromagnet. You should know, you've got a box of them right here."
467,Harley Keener,What does it power?  Oh my god! That... that's... Is that Iron Man?
468,Tony Stark,"Technically, I am."
469,Harley Keener,"Technically, you're dead."
470,Tony Stark,A valid point.
471,Harley Keener,What happened to him?
472,Tony Stark,"Life. I built him, I take care of him, I'll fix him."
473,Harley Keener,Like a mechanic?
474,Tony Stark,Yeah.
475,Harley Keener,Oh. If I was building Iron Man and War Machine.
476,Tony Stark,It's Iron Patriot now.
477,Harley Keener,That's way cooler!
478,Tony Stark,"No, it's not."
479,Harley Keener,"Anyways, I would have added in um... the retro..."
480,Tony Stark,Retroreflective panels?
481,Harley Keener,To make him stealth mode.
482,Tony Stark,You want a stealth mode?
483,Harley Keener,"Cool, right?"
484,Tony Stark,That's actually a good idea. Maybe I'll build one.
485,Harley Keener,Oops!
486,Tony Stark,"Not a good idea! What are you doing? You're gonna break his finger? He's in pain, he's been injured. Leave him alone."
