,Character,Dialog
204,Yinsen,"A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian."
205,Tony Stark,Who are these people?
206,Yinsen,"They are your loyal customers, sir. They call themselves the Ten Rings.  You know, we might be more productive if you include me in the planning process."
207,Tony Stark,"Uh-huh.  Okay, we don't need this."
208,Yinsen,What is that?
209,Tony Stark,"That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?"
210,Man #1,What's he doing?
211,Man #2,Working.
212,Tony Stark,"Careful. Careful, we only get one shot at this."
213,Yinsen,Relax. I have steady hands. Why do you think you're still alive?
214,Tony Stark,What do I call you?
215,Yinsen,My name is Yinsen.
216,Tony Stark,Yinsen. Nice to meet you.
217,Yinsen,"Nice to meet you, too.  Whoa. That doesn't look like a Jericho missile."
218,Tony Stark,That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.
219,Yinsen,But what could it generate?
220,Tony Stark,"If my math is right, and it always is, three gigajoules per second."
221,Yinsen,That could run your heart for 50 lifetimes.
222,Tony Stark,Yeah. Or something big for 15 minutes.
223,Tony Stark,This is our ticket out of here.
224,Yinsen,What is it?
225,Tony Stark,Flatten them out and look.
226,Yinsen,"Oh, wow. Impressive."
227,Yinsen,Good. Good roll. Good roll.
228,Tony Stark,You still haven't told me where you're from.
229,Yinsen,I'm from a small town called Gulmira. It's actually a nice place.
230,Tony Stark,Got a family?
231,Yinsen,"Yes, and I will see them when I leave here. And you, Stark?"
232,Tony Stark,No.
233,Yinsen,No? So you're a man who has everything and nothing.
234,Man #1,It doesn't look anything like the picture.
235,Man #2,Maybe it's been modified.
236,Man #1,The tail is wrong.
237,Man #2,It's just backwards.
238,Raza,Relax.  Why have you failed me?
239,Yinsen,We're working. Diligently.
240,Raza,
241,Yinsen,It's very complex. He's trying very hard.
242,Raza,On his knees.
243,Yinsen,We're both working.
244,Raza,Open your mouth.
245,Tony Stark,What does he want?
246,Raza,You think I'm a fool? What's going on? Tell me the truth.
247,Yinsen,He's building your Jericho. He's building your Jericho.
248,Tony Stark,What do you want? A delivery date?  I need him. Good assistant.
249,Raza,You have till tomorrow to assemble my missile.
250,Yinsen,"Okay? Can you move? Okay, say it again."
251,Tony Stark,"41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."
252,Raza,Where is Stark?
253,Man,He was here a moment ago.
254,Raza,Go look for him.
255,Man,Yinsen! Yinsen! Stark!
256,Tony Stark,Say something. Say something back to him.
257,Yinsen,He's speaking Hungarian. I don't...
258,Tony Stark,Then speak Hungarian.
259,Yinsen,Okay. I know.
260,Tony Stark,What do you know?
261,Tony Stark,How'd that work?
262,Yinsen,"Oh, my goodness. It worked all right."
263,Tony Stark,That's what I do.
264,Yinsen,Let me finish this.
265,Tony Stark,Initialize the power sequence.
266,Yinsen,Okay.
267,Tony Stark,Now!
268,Yinsen,Tell me. Tell me.
269,Tony Stark,Function 11. Tell me when you see a progress bar. It should be up right now.
270,Yinsen,Yes.
271,Tony Stark,Talk to me. Tell me when you see it.
272,Yinsen,I have it.
273,Tony Stark,"Press Control ""l""."
274,Yinsen,"""I."""
275,Tony Stark,"""I."" ""Enter."""
276,Yinsen,Got it.
277,Tony Stark,"""l"" and ""Enter."" Come over here and button me up."
278,Yinsen,Okay. All right.
279,Tony Stark,Every other hex bolt.
280,Yinsen,They're coming!
281,Tony Stark,"Nothing pretty, just get it done. Just get it done."
282,Yinsen,They're coming.
283,Tony Stark,"Make sure the checkpoints are clear before you follow me out, okay?"
284,Yinsen,"We need more time. Hey, I'm gonna go buy you some time."
285,Tony Stark,Stick to the plan! Stick to the plan!  Yinsen! Yinsen!
286,Tony Stark,Yinsen!
287,Yinsen,Watch out!  Stark.
288,Tony Stark,"Come on.  We got to go. Move for me, come on. We got a plan. We're gonna stick to it."
289,Yinsen,"This was always the plan, Stark."
290,Tony Stark,"Come on, you're gonna go see your family. Get up."
291,Yinsen,"My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this."
292,Tony Stark,Thank you for saving me.
293,Yinsen,Don't waste it. Don't waste your life.
294,Tony Stark,My turn.  Not bad.
295,Tony Stark,Hey!  Hey!
296,James Rhodes,"How was the ""fun-vee""? Next time, you ride with me, okay?"
297,James Rhodes,"Watch it, coming up here."
298,Tony Stark,Are you kidding me with this? Get rid of them.  Your eyes are red. A few tears for your long-lost boss?
299,Pepper Potts,Tears of joy. I hate job hunting.
300,Tony Stark,"Yeah, vacation's over."
301,Happy,"Where to, sir?"
302,Pepper Potts,"Take us to the hospital, please, Happy."
303,Tony Stark,No.
304,Pepper Potts,"No? Tony, you have to go to the hospital."
305,Tony Stark,No is a complete answer.
306,Pepper Potts,The doctor has to look at you.
307,Tony Stark,"I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other..."
308,Pepper Potts,That's enough of that.
309,Tony Stark,...is not what you think. I want you to call for a press conference now.
310,Pepper Potts,Call for a press conference?
311,Tony Stark,Yeah.
312,Pepper Potts,What on earth for?
313,Tony Stark,"Hogan, drive. Cheeseburger first."
314,Obadiah Stane,Look at this! Tony. We were going to meet at the hospital.
315,Tony Stark,"No, I'm fine."
316,Obadiah Stane,"Look at you! You had to have a burger, yeah?"
317,Tony Stark,"Well, come on."
318,Obadiah Stane,You get me one of those?
319,Tony Stark,There's only one left. I need it.
320,Obadiah Stane,"Hey, look who's here! Yeah!"
321,Agent Coulson,Miss Potts?
322,Pepper Potts,Yes.
323,Agent Coulson,Can I speak to you for a moment?
324,Pepper Potts,"I'm not part of the press conference, but it's about to begin right now."
325,Agent Coulson,"I'm not a reporter. I'm Agent Phil Coulson, with the Strategic Homeland Intervention, Enforcement and Logistics Division."
326,Pepper Potts,That's quite a mouthful.
327,Agent Coulson,I know. We're working on it.
328,Pepper Potts,"You know, we've been approached already by the DOD, the FBI, the CIA..."
329,Agent Coulson,We're a separate division with a more specific focus. We need to debrief Mr. Stark about the circumstances of his escape.
330,Pepper Potts,"I'll put something in the book, shall I?"
331,Agent Coulson,Thank you.
332,Obadiah Stane,"Well, let's get this started, uh..."
333,Tony Stark,"Hey, would it be all right if everyone sat down?"
334,James Rhodes,What's up with the love-in?
335,Pepper Potts,Don't look at me. I don't know what he's up to.
336,Tony Stark,Good to see you.
337,Obadiah Stane,Good to see you.
338,Tony Stark,"I never got to say goodbye to Dad. I never got to say goodbye to my father. There's questions that I would have asked him. I would have asked him how he felt about what this company did. If he was conflicted, if he ever had doubts. Or maybe he was every inch the man we all remember from the newsreels. I saw young Americans killed by the very weapons I created to defend them and protect them. And I saw that I had become part of a system that is comfortable with zero accountability."
339,Reporters,Mr. Stark!
340,Tony Stark,"Hey, Ben."
341,Reporter,What happened over there?
342,Tony Stark,I had my eyes opened.  until such a time as I can decide what the future of the company will be.
343,Obadiah Stane,I think we're gonna be selling a lot of newspapers.
344,Tony Stark,"What direction it should take, one that I'm comfortable with and is consistent with the highest good for this country, as well."
345,Obadiah Stane,What we should take away from this is that Tony's back! And he's healthier than ever. We're going to have a little internal discussion and we'll get back to you with the follow-up.  Where is he?
346,Happy,He's inside.
347,Obadiah Stane,"Well, that..uh... That went well."
348,Tony Stark,Did I just paint a target on the back of my head?
349,Obadiah Stane,Your head? What about my head? What do you think the over-under on the stock drop is gonna be tomorrow?
350,Tony Stark,"Uh, optimistically, 40 points."
351,Obadiah Stane,At minimum.
352,Tony Stark,Yep.
353,Obadiah Stane,"Tony, we're a weapons manufacturer."
354,Tony Stark,"Obie, I just don't want a body count to be our only legacy."
355,Obadiah Stane,That's what we do. We're iron mongers. We make weapons.
356,Tony Stark,It's my name on the side of the building.
357,Obadiah Stane,And what we do keeps the world from falling into chaos.
358,Tony Stark,Not based on what I saw. We're not doing a good enough job. We can do better. We're gonna do something else.
359,Obadiah Stane,Like what? You want us to make baby bottles?
360,Tony Stark,I think we should take another look into arc reactor technology.
361,Obadiah Stane,"Ah, come on. The arc reactor, that's a publicity stunt! Tony, come on. We built that thing to shut the hippies up."
362,Tony Stark,It works.
363,Obadiah Stane,"Yeah, as a science project. The arc was never cost effective. We knew that before we built it. Arc reactor technology, that's a dead end, right?"
364,Tony Stark,Maybe.
365,Obadiah Stane,Huh? Am I right? We haven't had a breakthrough in that in what? Thirty years.
366,Tony Stark,"That's what they say. Could you have a lousier poker face? Just tell me, who told you?"
367,Obadiah Stane,Never mind who told me. Show me.
368,Tony Stark,It's Rhodey or Pepper.
369,Obadiah Stane,I want to see it.
370,Tony Stark,"Okay, Rhodey."
371,Obadiah Stane,Okay.
372,Tony Stark,Okay? It works.
373,Obadiah Stane,"Listen to me, Tony. We're a team. Do you understand? There's nothing we can't do if we stick together, like your father and I."
374,Tony Stark,"I'm sorry I didn't give you a heads-up, okay? But if I had..."
375,Obadiah Stane,"Tony. Tony, no more of this ""ready, fire, aim"" business. You understand me?"
376,Tony Stark,That was Dad's line.
377,Obadiah Stane,You gotta let me handle this. We're gonna have to play a whole different kind of ball now. We're going to have to take a lot of heat. I want you to promise me that you're gonna lay low.
378,Newcaster,"Stark Industries! I've got one recommendation! Ready? Ready? Sell, sell, sell! Abandon ship! Does the Hindenburg ring any bells? Let me show you the new Stark Industries business plan! Look, that's a weapons company that doesn't make weapons!"
379,Tony Stark,Pepper. How big are your hands?
380,Pepper Potts,What?
381,Tony Stark,How big are your hands?
382,Pepper Potts,I don't understand why...
383,Tony Stark,"Get down here. I need you.  Oh, wow. They are small. Very petite, indeed. I just uh.. need your help for a sec."
384,Pepper Potts,"Oh, my God, is that the thing that's keeping you alive?"
385,Tony Stark,"It was. It is now an antique. This is what will be keeping me alive for the foreseeable future. I'm swapping it up for an upgraded unit, and I just ran into a little speed bump."
386,Pepper Potts,"Speed bump, what does that mean?"
387,Tony Stark,It's nothing. It's just a little snag. There's an exposed wire under this device. And it's contacting the socket wall and causing a little bit of a short. It's fine.
388,Pepper Potts,What do you want me to do?
389,Tony Stark,Put that on the table over there. That is irrelevant.
390,Pepper Potts,"Oh, my God!"
391,Tony Stark,"I want you to reach in, and you're just gonna gently lift the wire out."
392,Pepper Potts,Is it safe?
393,Tony Stark,"Yeah, it should be fine. It's like Operation. You just don't let it touch the socket wall or it goes ""beep."""
394,Pepper Potts,"What do you mean, ""Operation""?"
395,Tony Stark,"It's just a game, never mind. Just gently lift the wire."
396,Pepper Potts,Okay.
397,Tony Stark,Okay? Great.
398,Pepper Potts,"You know, I don't think that I'm qualified to do this."
399,Tony Stark,"No, you're fine. You're the most capable, qualified, trustworthy person I've ever met. You're gonna do great. Is it too much of a problem to ask? 'Cause I'm..."
400,Pepper Potts,"Okay, okay."
401,Tony Stark,I really need your help here.
402,Pepper Potts,"Okay.  Oh, there's pus!"
403,Tony Stark,"It's not pus. It's an inorganic plasmic discharge from the device, not from my body."
404,Pepper Potts,It smells!
405,Tony Stark,"Yeah, it does. The copper wire. The copper wire, you got it?"
406,Pepper Potts,"Okay, I got it! I got it!"
407,Tony Stark,"Okay, you got it? Now, don't let it touch  the sides when you're coming out!"
408,Pepper Potts,I'm sorry. I'm sorry.
409,Tony Stark,"That's what I was trying to tell you before. Okay, now make sure that when you pull it out, that you don't...  There's a magnet at the end of it! That was it. You just pulled it out."
410,Pepper Potts,"Oh, God!"
411,Tony Stark,"Okay, I was not expecting..."
412,Pepper Potts,"Okay, what do I do?"
413,Tony Stark,Don't put it back in! Don't put it back in!
414,Pepper Potts,What's wrong?
415,Tony Stark,"Nothing, I'm just going into cardiac arrest--"
416,Pepper Potts,What? You said it was safe!
417,Tony Stark,'cause you yanked it out like a trout... We gotta hurry. Take this. Take this. You gotta switch it out really quick.
418,Pepper Potts,Okay. Okay. Tony?
419,Tony Stark,What?
420,Pepper Potts,It's going to be okay. Okay?
421,Tony Stark,Is it?
422,Pepper Potts,It's gonna be okay. I'm gonna make this okay.
423,Tony Stark,"Let's hope. Okay, you're gonna attach that to the base plate. Make s-sure you...  Was that so hard? That was fun, right? Here, I got it. I got it. Here. Nice."
424,Pepper Potts,Are you okay?
425,Tony Stark,"Yeah, I feel great. You okay?"
426,Pepper Potts,"Don't ever, ever, ever, ever ask me to do anything like that ever again."
427,Tony Stark,I don't have anyone but you. Anyway...
428,Pepper Potts,What do you want me to do with this?
429,Tony Stark,That? Destroy it. Incinerate it.
430,Pepper Potts,You don't want to keep it?
431,Tony Stark,"Pepper, I've been called many things. ""Nostalgic"" is not one of them."
432,Pepper Potts,"Will that be all, Mr. Stark?"
433,Tony Stark,"That will be all, Miss Potts.  Hey, Butterfingers, come here. What's all this stuff doing on top of my desk? That's my phone, that's a picture of me and my dad. Right there. In the garbage. All that stuff."
434,James Rhodes,"The future of air combat. Is it manned or unmanned? I'll tell you, in my experience, no unmanned aerial vehicle will ever trump a pilot's instinct, his insight, that ability to look into a situation beyond the obvious and discern its outcome, or a pilot's judgment."
435,Tony Stark,Colonel? Why not a pilot without the plane?
436,James Rhodes,Look who fell out of the sky. Mr. Tony Stark.
437,Man,"Hello, sir."
438,Tony Stark,"Speaking of manned or unmanned, you gotta get him to tell you about the time he guessed wrong at spring break. Just remember that, spring break, 1987. That lovely lady you woke up with."
439,James Rhodes,Don't do that!
440,Tony Stark,What was his name?
441,James Rhodes,Don't do that.
442,Tony Stark,Was it Ivan?
443,James Rhodes,Don't do that. They'll believe it.
444,Tony Stark,Okay.
445,James Rhodes,Don't do that.
446,Tony Stark,Okay.
447,James Rhodes,Don't do that.
448,Tony Stark,Pleasure meeting you.
449,James Rhodes,"Give us a couple minutes, you guys.  I'm surprised."
450,Tony Stark,Why?
451,James Rhodes,"I swear, I didn't expect to see you walking around so soon."
452,Tony Stark,I'm doing a little better than walking.
453,James Rhodes,Really?
454,Tony Stark,"Yeah. Rhodey, I'm working on something big. I came to talk to you. I want you to be a part of it."
455,James Rhodes,"You're about to make a whole lot of people around here real happy, 'cause that little stunt at the press conference, that was a doozy."
456,Tony Stark,This is not for the military. I'm not... It's different.
457,James Rhodes,What? You're a humanitarian now or something?
458,Tony Stark,I need you to listen to me.
459,James Rhodes,No. What you need is time to get your mind right. I'm serious.
460,Tony Stark,Okay.
461,James Rhodes,"It's nice seeing you, Tony."
462,Tony Stark,Thanks.
463,Tony Stark,"JARVIS, you up?"
464,JARVIS,"For you, sir, always."
465,Tony Stark,"I'd like to open a new project file, index as Mark Two."
466,JARVIS,Shall I store this on the Stark Industries Central Database?
