,Character,Dialog
111,Tony Stark,I didn't lose him. He's more than that. He's evolving.
112,Stephen Strange,"Who could find Vision, then?"
113,Tony Stark,Probably Steve Rogers.
114,Stephen Strange,"Oh, great."
115,Tony Stark,Maybe. But...
116,Bruce Banner,Call him.
117,Tony Stark,"It's not that easy. God, we haven't caught up in a spell, have we?"
118,Bruce Banner,No.
119,Tony Stark,The Avengers broke up. We're toast.
120,Bruce Banner,Broke up? Like a band? Like The Beatles?
121,Tony Stark,Cap and I fell out hard. We're not on speaking terms.
122,Bruce Banner,"Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not."
123,Tony Stark,"Say, Doc, you wouldn't happen to be moving your hair, would you?"
124,Stephen Strange,"Not at the moment, no."
125,Tony Stark,You okay?
126,Tony Stark,"Help him! Wong, Doc."
127,Bruce Banner,Go! Got it!
128,Tony Stark,"F.R.I.D.A.Y., what am I looking at?"
129,F.R.I.D.A.Y.,"Not sure, I'm working on it."
130,Tony Stark,"Hey! You might wanna put that Time Stone in your back pocket, Doc!"
131,Stephen Strange,Might wanna use it.
132,Peter Parker,"Ned, hey. I need you to cause a distraction."
133,Ned Leeds,Holy shit! We're all gonna die! There's a spaceship!
134,"School Bus Driver, Stan Lee",What's the matter with you kids? You've never seen a spaceship before?
135,Tony Stark,"F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders."
136,F.R.I.D.A.Y.,Will do.
137,Ebony Maw,"Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to..."
138,Tony Stark,"I'm sorry, Earth is closed today. You better pack it up and get outta here."
139,Ebony Maw,Does this chattering animal speak for you?
140,Stephen Strange,Certainly not. I speak for myself.
141,Tony Stark,"It means get lost, Squidward!"
142,Ebony Maw,He exhausts me.
143,Cull Obsidian,
144,Ebony Maw,Bring me the Stone.
145,Cull Obsidian,
146,Tony Stark,"Banner, you want a piece?"
147,Bruce Banner,"No, not really, but when do I ever get what I want?"
148,Tony Stark,That's right.
149,Tony Stark,"Been a while. Good to have you, buddy."
150,Bruce Banner,"I just... I need to concentrate here for one second. Come on, come on, man."
151,Tony Stark,Where's your guy?
152,Bruce Banner,I don't know. We've sort been havin' a thing.
153,Tony Stark,There's no time for a thing.
154,Bruce Banner,I know.
155,Tony Stark,That's the thing right there. Let's go.
156,Tony Stark,"Dude, you're embarrassing me in front of the wizards."
157,Bruce Banner,"Tony, I'm sorry.  Either I can't or he won't--"
158,Tony Stark,"It's okay. Hey, stand down.  Keep an eye on him. Thank you."
159,Wong,I have him.
160,Bruce Banner,Damn it.
161,Bruce Banner,Where'd that come from?
162,Tony Stark,It's nano-tech. You like it? A little someth--
163,Stephen Strange,"Dr. Banner, if the rest of your green friend won't be joining us...."
164,Tony Stark,"Gotta get that stone outta here, now."
165,Stephen Strange,It stays with me.
166,Tony Stark,Exactly. Bye.
167,Bruce Banner,"Tony, you okay? How we doing? Good? Bad?"
168,Tony Stark,"Really, really good. Really good. Do you plan on helping out?"
169,Bruce Banner,I'm trying. He won't come out.
170,Tony Stark,Hammer.
171,Bruce Banner,Come out! Come out! Come out!
172,Hulk,
173,Bruce Banner,"What do you mean, ""no""?!"
174,Peter Parker,"Hey, man. What's up, Mr. Stark?"
175,Tony Stark,"Kid, where'd you come from?"
176,Peter Parker,Field trip to MoMA.
177,Peter Parker,"What is this guy's problem, Mr. Stark?"
178,Tony Stark,He's from space. He came here to steal a necklace from a wizard.
179,Ebony Maw,Your powers are quaint. You must be popular with children.
180,Stephen Strange,It's a simple spell but quite unbreakable.
181,Ebony Maw,Then I'll take it off your corpse.
182,Stephen Strange,You'll find... removing a dead man's spell... troublesome.
183,Ebony Maw,You'll only wish you were dead.  NO!
184,Tony Stark,"Kid, that's the wizard. Get on it."
185,Peter Parker,On it!
186,Peter Parker,Not cool!
187,Peter Parker,"Uhhh, Mr. Stark? I'm being beamed up!"
188,Tony Stark,"Hang on, kid."
189,Tony Stark,
190,Tony Stark,"Pete, you gotta let go. I'm gonna catch you."
191,Peter Parker,But you said save the wizard!  I can't breathe!
192,Tony Stark,You're too high up. You're running out of air.
193,Peter Parker,Yeah! That makes sense.
194,Peter Parker,"Mr. Stark, it smells like a new car in here!"
195,Tony Stark,"Happy trails, kid. F.R.I.D.A.Y, send him home."
196,F.R.I.D.A.Y.,Yep.
197,Peter Parker,"OH, COME ON!"
198,F.R.I.D.A.Y.,"Boss, incoming call from Miss Potts."
199,Pepper Potts,"Tony? Oh, my God. Are you all right? What's going on?"
200,Tony Stark,"Yeah, I'm fine. I just think we might have to push our 8:30 res."
201,Pepper Potts,Why?
202,Tony Stark,Just 'cause I'll... probably not make it back for a while.
203,Pepper Potts,Tell me you're not on that ship.
204,Tony Stark,Yeah.
205,Pepper Potts,"God, no. Please tell me you're not on that ship."
206,Tony Stark,"Honey, I'm sorry. I'm sorry, I don't know what to say."
207,Pepper Potts,"Come back here, Tony. I swear to God…."
208,Tony Stark,Pep….
209,Pepper Potts,Come back here right now! Come back!
210,F.R.I.D.A.Y.,"Boss, we're losing her. I'm going, too…."
211,Peter Parker,Oh my God!  I should have stayed on the bus....
212,Bruce Banner,Where you going?
213,Wong,The Time Stone's been taken. The Sanctum remains unguarded. What will you do?
214,Bruce Banner,I'm gonna make a call.
215,[Screen title,SPACE]
216,Peter Quill,"Sing it, Drax!"
217,Rocket,Why are we doing this again?
218,Gamora,"It's a distress signal, Rocket. Someone could be dying."
219,Rocket,"I get that, but why are we doing it?"
220,Peter Quill,'Cause we're nice. And maybe whoever it is will give us a little cheddar cheese  for our help.
221,Gamora,Which isn't the point.
222,Peter Quill,Which isn't the point... I mean… if he doesn't pony up….
223,Drax,We'll take his ship.
224,Rocket,Exactly!
225,Peter Quill,B-b-b-bingo!
226,Mantis,We are arriving.
227,Peter Quill,"All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces.  Groot."
228,Groot,I am Groot!
229,Peter Quill,Whoa!
230,Rocket,Language!
231,Gamora,Hey!
232,Drax,Wow.
233,Peter Quill,"You got some acorns on you, kid."
234,Rocket,"Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna SMASH THAT THING TO PIECES!"
235,Mantis,What happened?
236,Rocket,Looks like we're not getting paid.
237,Rocket,Wipers! Wipers! Get it off!
238,Peter Quill,How the hell is this dude still alive?
239,Drax,"He is not a dude. You're a dude. This... this is a man. A handsome, muscular man."
240,Peter Quill,I'm muscular.
241,Rocket,"Who are you kidding, Quill? You're one sandwich away from fat."
242,Peter Quill,"Yeah, right."
243,Drax,It's true. You have gained a little weight….
244,Peter Quill,"What? Gamora, do you think I'm…"
245,Mantis,He is anxious. Angry. He feels tremendous loss and guilt.
246,Drax,It's like a pirate had a baby with an angel.
247,Peter Quill,Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bow-flex. I'm gonna commit. I'm gonna get some dumbbells.
248,Rocket,"You know you can't eat dumbbells, right?"
249,Gamora,It's like his muscles are made of Cotati metal fibers.
250,Peter Quill,Wake him up.
251,Mantis,Wake.
252,Thor,Who the hell are you guys?
253,Gamora,"The entire time I knew Thanos, he only ever had one goal: To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre...."
254,Drax,Including my own.
255,Gamora,"If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this."
256,Thor,You seem to know a great deal about Thanos.
257,Drax,Gamora... is the daughter of Thanos.
258,Thor,Your father killed my brother.
259,Peter Quill,"Oh, boy. Stepfather. Technically, she hates him as much as you do."
260,Thor,"Families can be tough.  Before my father died, he told me I had a half-sister... that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain."
261,Peter Quill,"And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes--"
262,Thor,"I need a hammer, not a spoon….  How do I open this thing? Is there some sort of a four-digit code maybe… maybe a birth date or something…."
263,Peter Quill,What are you doing?
264,Thor,Taking your pod.
265,Peter Quill,"You'll not, be taking our pod today, sir."
266,Rocket,Quill. Are you making your voice deeper?
267,Peter Quill,No.
268,Drax,You are. You're imitating the god-man. It's weird.
269,Peter Quill,No I'm not.
270,Mantis,He just did it again!
271,Peter Quill,This is my voice!
272,Thor,Are you mocking me?
273,Peter Quill,Are you mocking me?
274,Thor,Stop it. You did it again.
275,Peter Quill,He's trying to copy me.
276,Thor,Would you stop doing that? He's doing it first.
277,Gamora,Enough! We need to stop Thanos. Which means we need to find out where he's going next.
278,Thor,Knowhere.
279,Mantis,He must be going somewhere.
280,Peter Quill,
281,Thor,Not anymore.
282,Gamora,Thor… why would he go to Knowhere?
283,Thor,"Because for years, the Reality Stone has been safely stored, there with a man we call the Collector."
284,Peter Quill,"If it's with the Collector, then it's not safe. Only an idiot would give that man a stone."
285,Thor,Or a genius.
286,Gamora,How do you know he's not going for one of the other Stones?
287,Thor,"There's six stones out there.  Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers."
288,Peter Quill,The 'Avengers'?
289,Thor,Earth's Mightiest Heroes.
290,Mantis,Like Kevin Bacon?
291,Thor,"He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome."
292,Gamora,Then we have to go to Knowhere now.
293,Thor,"Wrong! Where we have to go, is Nivadellir."
294,Drax,That's a made up word.
295,Thor,All words are made up.
296,[It's official,mind blown.]
297,Rocket,"Hold up, Nidavellir is real?  They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please."
298,Thor,"The rabbit is correct, and clearly the smartest among you."
299,Rocket,Rabbit?
300,Thor,"Only Eitri the dwarf king can make me the weapon I need.  I assume you're the captain, sir?"
301,Rocket,You're very perceptive.
302,Thor,You seem like a noble leader. Will you join me on my quest to Nidavellir?
303,Rocket,"Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go."
304,Thor,Wonderful.
305,Peter Quill,Except for that I'm the captain.
306,Thor,Quiet!
307,Peter Quill,That's my backpack.
308,Rocket,Go sit down.
309,Peter Quill,"Wait, what kind of weapon are we talking about here?"
310,Thor,The Thanos killing kind.
311,Peter Quill,Don't you think that we should all have a weapon like that?
312,Thor,No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness.
313,Rocket,Is it weird that I wanna do it even more now?
314,Thor,A little bit. Yeah.
315,Gamora,"If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop."
316,Thor,He already is.
317,Rocket,"I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool."
318,Thor,So cool.
319,Peter Quill,For the record… I know that you're only going with him because it's where Thanos isn't.
320,Rocket,"You know, you shouldn't talk that way to your captain, Quill.  Come on, Groot. Put that game down, you'll rot your brain."
321,Thor,"I bid you farewell and good luck, morons. Bye."
322,Vision,
323,Wanda Maximoff,Vis? Is it the stone again?
324,Vision,It's as if it's speaking to me.
325,Wanda Maximoff,What does it say?
326,Vision,I don't... I don't know. But something...
327,Vision,Tell me what you feel.
328,Wanda Maximoff,I just feel you.
329,Wanda Maximoff,So there's a 10 AM to Glasgow to give us more time together before you went back.
330,Vision,What if I miss that train?
331,Wanda Maximoff,There is an 11.
332,Vision,"What if I missed all the trains? What if this time, I didn't go back?"
333,Wanda Maximoff,You gave Stark your word.
334,Vision,I'd rather give it to you.
335,Wanda Maximoff,"There are people who are expecting me too, you know. We both made promises."
336,Vision,"Not to each other.  You know what, I'm just gonna speak for myself -- I, I... I think..."
337,Wanda Maximoff,It works.
338,Vision,It works.
339,Vision,Then stay. Stay with me.
340,Vision,Or not. If I'm overstepping…
341,Wanda Maximoff,What are they?
342,Vision,What the stone was warning me about.  I have to go.
343,Wanda Maximoff,"No, Vision. Vision, if that's true… then maybe going isn't the best idea."
344,Vision,"Wanda, I…"
345,Wanda Maximoff,Vision!
346,Vision,The blade. It stopped me from phasing.
347,Wanda Maximoff,Is that even possible?
348,Vision,It isn't supposed to be.  I'm beginning to think... we should have stayed in bed.
349,Wanda Maximoff,Vis!
350,Corvus Glaive,"Give up the Stone, and she lives."
351,Wanda Maximoff,Hands off.
352,Wanda Maximoff,"Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go."
353,Vision,Please. Please leave.
354,Wanda Maximoff,You asked me to stay.... I'm staying.
355,Vision,Please.
356,Wanda Maximoff,Get up.
357,Proxima Midnight,Get up.
358,Corvus Glaive,I can't.
359,Natasha Romanoff,We don't wanna kill you. But we will.
360,Proxima Midnight,You'll never get the chance again.
361,Sam Wilson,Can you stand?
362,Vision,"Thank you, Captain."
363,Steve Rogers,Let's get you on the jet.
364,Natasha Romanoff,"I thought we had a deal. Stay close, check in. Don't take any chances."
365,Wanda Maximoff,I'm sorry. We just wanted time.
366,Sam Wilson,"Where to, Cap?"
367,Steve Rogers,Home.
368,Gamora's Mother,Shh. We'll be safe. We'll be safe.
369,Child of Thanos,
370,Ebony Maw,Zehobereians…
371,Young Gamora,Mother! Where's my mother?!
372,Ebony Maw,"Choose a side, or die."
373,Young Gamora,Mother!
374,Ebony Maw,"One side is a revelation. The other, an honor known only to a few."
375,Thanos,"What's wrong, little one?"
376,Young Gamora,My mother. Where is my mother?
377,Thanos,What's your name?
378,Young Gamora,Gamora.
379,Thanos,"You're quite the fighter, Gamora. Come. Let me help you.  Here. You try."
380,Ebony Maw,"Now go in peace, and meet your Maker."
381,Thanos,Concentrate. There! You've got it.
382,Peter Quill,"Gamora. Do you know if these grenades are the ""blow off your junk"" kind or the gas kind? 'Cause I was thinking I might hang a couple on my belt right here. But I don't want to--"
383,Gamora,I need to ask a favor.
384,Peter Quill,"Yeah, sure."
385,Gamora,"One way or another, the path that we're on leads to Thanos."
386,Peter Quill,Which is what the grenades are for.  I'm sorry. What's the favor?
387,Gamora,If things go wrong… If Thanos gets me… I want you to promise me… you'll kill me.
388,Peter Quill,What?
389,Gamora,I know something he doesn't. If he finds out… the entire Universe could be at risk.
390,Peter Quill,What do you know?
391,Gamora,"If I tell you, you'd know, too."
392,Peter Quill,"If it's so important, shouldn't I?"
393,Gamora,Only if you wanna die.
394,Peter Quill,Why does somebody always have to die in this scenario?
395,Gamora,"Just… trust me. And possibly, kill me."
396,Peter Quill,"I mean, I'd like to. I really would…"
397,Gamora,Swear to me. Swear to me on your mother.
398,Peter Quill,Okay.
399,Peter Quill,Dude. How long have you been standing there?
400,Drax,An hour.
401,Peter Quill,An hour? Are you serious?
402,Drax,I've mastered the ability of standing so incredibly still... that I become invisible to the eye... watch.
403,Peter Quill,You're eating a zarg-nut.
404,Drax,But my movement... was so slow... that it's imperceptible.
405,Peter Quill,"Mmm, no."
406,Drax,I'm sure I'm invisible.
407,Mantis,"Hi, Drax."
408,Drax,Damn it.
409,[The Benatar flies towards a massive skull and flies through one eye-hole into a vast interior cavern. Screen title,KNOWHERE.]
410,Peter Quill,This place looks deserted.
411,Drax,I'm reading movement from the third quadrant.
412,Peter Quill,"Yep. I'm picking that up, too. Let's put it down right here."
413,Collector,I don't have it.
414,Thanos,Everyone in the Galaxy knows you'd sell your own brother if you thought it would add the slightest trinket to your pathetic collection.
415,Thanos,"I know you have the Reality Stone, Tivan. Giving it to me will spare you a great deal of suffering."
416,Collector,I told you. I sold it. Why would I lie?
417,Thanos,I imagine it's like breathing for you.
418,Collector,Like suicide.
419,Thanos,So you do understand. Not even you would surrender something so precious.
420,Collector,I didn't know what it was.
421,Thanos,"Then you're more of a fool than I took you for. Last chance, charlatan. Where's the Stone?"
422,Drax,Today...
423,Peter Quill,Drax. Drax.
424,Drax,...He pays for the deaths of my wife and daughter.
425,Peter Quill,"Drax, waaaaait!  Drax, Drax, Drax. He doesn't have the Stone yet. We get it, and then we can stop him. We have to get the Stone first. Yeah."
426,Drax,No. No. For Ovette. For Camaria.
427,Mantis,Sleeeep.
428,Peter Quill,"Okay. Gamora, Mantis, you go right. I'm...  The other right!"
429,Thanos,Why?
430,Peter Quill,That was quick.
431,Collector,Magnificent! Magnificent! Magnificent!
432,Thanos,"Is it sadness I sense in you, daughter? In my heart, I knew you still cared. But one ever knows for sure. Reality is often disappointing."
433,Thanos,"That is, it was. Now… reality can be whatever I want."
434,Gamora,You knew I'd come.
435,Thanos,"I counted on it. There's something we need to discuss, little one."
436,Drax,Thanos!
437,Peter Quill,"Let her go, Grimace!"
438,Gamora,Peter…
439,Peter Quill,I told you to go right.
440,Gamora,Now? Really?
441,Peter Quill,You let her go!
442,Thanos,"Ah, the boyfriend."
443,Peter Quill,I like to think of myself more as a Titan-killing long-term booty call. Let her go.
444,Gamora,Peter…
445,Peter Quill,Or I'm gonna blow that nut sack of a chin right off your face!
446,Gamora,Not him.
447,Gamora,You promised! You promised.
448,Thanos,"Oh, daughter. You expect too much from him.  DO IT!!"
449,Peter Quill,I told you to go right.
450,Gamora,"I love you, more than anything."
451,Peter Quill,"I love you, too."
452,Thanos,I like you.
453,Secretary Ross,Still no word from Vision?
454,James Rhodes,Satellites lost him somewhere over Edinburgh.
455,Secretary Ross,On a stolen Quinjet with four of the world's most wanted criminals.
456,James Rhodes,"You know they're only criminals because you've chosen to call them that, right, sir?"
457,Secretary Ross,"My God, Rhodes, your talent for horseshit rivals my own."
458,James Rhodes,"If it weren't for those Accords, Vision would've been right here."
459,Secretary Ross,"I remember your signature on those papers, Colonel."
460,James Rhodes,
461,Secretary Ross,You have second thoughts?
462,James Rhodes,Not anymore.
463,Steve Rogers,Mr. Secretary.
464,Secretary Ross,You got some nerve. I'll give you that.
465,Natasha Romanoff,You could use some of that right now.
466,Secretary Ross,"The world's on fire. And you think, all is forgiven?"
467,Steve Rogers,"I'm not looking for forgiveness. And I'm way past asking for permission. Earth just lost her best defender. So we're here to fight.  And if you wanna stand in our way... we'll fight you, too."
468,Secretary Ross,Arrest them.
469,James Rhodes,"All over it.  That's a court-martial. It's great to see you, Cap."
470,Steve Rogers,
471,James Rhodes,Well. You guys really look like crap. Must've been a rough couple of years.
472,Sam Wilson,"Yeah, well, the hotels weren't exactly five star."
473,Bruce Banner,"Uh, I think you look great.   Uh... heh... Yeah. I'm back."
474,Natasha Romanoff,"Hi, Bruce."
475,Bruce Banner,Nat.
476,Sam Wilson,This is awkward.
477,James Rhodes,"So we gotta assume they're coming back, right?"
478,Wanda Maximoff,And they can clearly find us.
479,Bruce Banner,We need all hands on deck. Where's Clint?
480,Natasha Romanoff,"After the whole Accords situation, he and Scott took a deal. It was too tough on their families, they're on house arrest."
481,Bruce Banner,Who's Scott?
482,Steve Rogers,Ant-Man.
483,Bruce Banner,"There's an Ant-Man and a Spider-Man? Okay, look… Thanos has the biggest army in the universe. And he is not gonna stop until he... he gets... Vision's Stone."
484,Natasha Romanoff,"Well then, we have to protect it."
485,Vision,"No, we have to destroy it. I've been giving a good deal of thought to this entity in my head, about its nature. But also, its composition. I think if it were exposed to a sufficiently powerful energy source, something, very similar to its own signature, perhaps… its molecular integrity could fail."
486,Wanda Maximoff,"And you, with it. We're not having this conversation."
487,Vision,Eliminating the stone is the only way to be certain that Thanos can't get it.
488,Wanda Maximoff,That's too high a price.
489,Vision,Thanos threatens half the Universe. One life cannot stand in the way of defeating him.
490,Steve Rogers,"We don't trade lives, Vision."
491,Vision,"Captain, 70 years ago, you laid down your life to save how many millions of people. Tell me, why is this any different?"
492,Bruce Banner,"Because you might have a choice. Your mind is made up of a complex construct of overlays. J.A.R.V.I.S., Ultron, Tony, me, the Stone. All of them mixed together. All of them learning from one another."
493,Wanda Maximoff,You're saying Vision isn't just the stone?
494,Bruce Banner,"I'm saying that if we take out the stone, there's still a whole lot of Vision left. Perhaps the best parts."
495,Natasha Romanoff,Can we do that?
496,Bruce Banner,Not me. Not here.
497,James Rhodes,"You better find someone, and somewhere fast. Ross isn't exactly just gonna let you guys have your old rooms back."
498,Steve Rogers,I know somewhere.
499,"[Cut to rural Wakanda, as King T'Challa and Okoye walk together, accompanied by two Kingsguard. Screen title",WAKANDA.]
500,Okoye,"You'll have the Kingsguard, and the Dora Milaje have been alerted."
501,T'Challa,And the Border Tribe?
502,Okoye,Those that are left.
503,T'Challa,Send word to the Jabari as well. M'Baku likes a good fight.
504,Okoye,And what of this one?
505,T'Challa,This one may be tired of war.  But the White Wolf has rested long enough.
506,Bucky Barnes,Where's the fight?
507,T'Challa,On its way.
508,Ebony Maw,"In all the time I've served Thanos, I've never failed him. If I were to reach our rendezvous on Titan with the Time Stone still attached to your vaguely irritating person, there would be... judgement.  Give me... the stone."
509,Tony Stark,"Wow you're a seriously loyal piece of outerwear, aren't you?"
510,Peter Parker,"Yeah, uh, speaking of loyalty...."
511,Tony Stark,What the--
512,Peter Parker,I know what you're gonna say.
513,Tony Stark,You should not be here.
514,Peter Parker,I was gonna go home--
