,Character,Dialog
53,Odin,Nothing out of order except your confused and distracted heart.
54,Thor,"This isn't about Jane Foster, Father."
55,Odin,"Human lives are fleeting, they are nothing. You'd be better served by what lies in front of you  I'm telling you this not as the all-father but as your father. You are ready. The time has come for you to take the throne. Embrace and celebrate what you've won. Join your warriors. Eat and drink, revel in their celebration. At least pretend to enjoy yourself."
56,Sif,There was a time you would celebrate for weeks.
57,Thor,I remember you celebrated the battle of Haragon so much that you nearly started a second.
58,Sif,"Well, the first was so much fun."
59,Sif,Take a drink with me. Surely the All-Father could have no further task for you tonight.
60,Thor,"No, this is one I set myself."
61,Sif,It has not gone unnoticed that you disappear each night. There are Nine Realms. Future king of Asgard must focus on more than one.
62,Thor,"I thank you for your sword and for your counsel, good Lady Sif."
63,Richard,Hi.
64,Jane Foster,Hi.
65,Richard,So what's the story with you?
66,Jane Foster,"Why does there have to be a story, there's no story."
67,Richard,"You've spent the first ten minutes of our date hiding behind a menu that has three choices on it. It's either chicken, vegetarian or fish, Jane. I think there's a story and I'm thinking the story involves a guy?"
68,Jane Foster,It's complicated.
69,Richard,Is he still around?
70,Jane Foster,"No, he...went away."
71,Richard,"I've been there. The going away, it's hard. I'd been seeing a woman and uh...she took a job in New York, eventually the distance killed it. And...and the fact that she uh...she kept sleeping with other dudes."
72,Jane Foster,No!
73,Richard,"Oh, so many."
74,Richard,Hi. Um...could we get some wine please?
75,Darcy Lewis,"Sure, I'd love some."
76,Jane Foster,"Richard, this is Darcy.  What are you doing here?"
77,Richard,"Oh, hello."
78,Darcy Lewis,"So, I show up to work at the lab-slash-your mom's house, fully expecting you to be moping around in your pajamas eating ice cream obsessing about you know who..."
79,Richard,Ah.
80,Darcy Lewis,"But you're not! You're wearing lady clothes, you even showered, didn't you? You smell good."
81,Jane Foster,"Is there a point to all this, cause there really has to be a point to all this."
82,Darcy Lewis,Right. You know that scientific equipment you don't look at anymore? You might wanna start looking at it now
83,Darcy Lewis,This is the reason we came all the way out here.
84,Jane Foster,It's malfunctioning.
85,Darcy Lewis,That's what I said.
86,Darcy Lewis,That's what I did! But you just hit a little more scientific.
87,Jane Foster,I'm sure it's nothing.
88,Richard,Yeah.
89,Darcy Lewis,"It didn't look like nothing. Kind of looks like the readings that Erik was rambling about.  Our friend Erik, kind of went banana-balls."
90,Jane Foster,He's not interested. I'm not interested. Time for you to go now.
91,Darcy Lewis,Okay.
92,Richard,Short but sweet.
93,Jane Foster,She needs help.
94,Richard,I think I'm gonna have the sea bass.
95,Jane Foster,"Sea bass. Yeah, sea bass is good."
96,Jane Foster,"Sea bass, sea bass, sea bass, sea bass, sea bass, sea bass, sea bass...sea bass. Sea bass..."
97,Richard,"Jane, maybe you should stop saying sea bass and go out to your friend."
98,Jane Foster,This was so fun.
99,Richard,"You know, I'll just stay here and say sea bass alone."
100,Jane Foster,And I hate you.
101,Darcy Lewis,What?! I thought he was cute.
102,Jane Foster,Just shut up and drive.
103,Jane Foster,Who's he?
104,Darcy Lewis,He's my intern.
105,Jane Foster,You have an intern?
106,Darcy Lewis,"Oh, yeah."
107,Ian Boothby,"Hello, Dr. Foster. It's uh...it's a great honor to be working with you."
108,Jane Foster,Right. I have to call Erik.
109,Ian Boothby,"Oh, uh...take a right."
110,Ian Boothby,Left!
111,Darcy Lewis,I have totally mastered driving in London.
112,Jane Foster,"Hi, Erik, it's me again. Where are you? I came here because you said you were onto something and then vanished."
113,Stonehenge TV News Reporter,"I'm here at Stonehenge, for what has been an interesting unfolding of events today. The police reported the scene shortly after 11 a.m. this morning, after a seemingly harmless rambler approached the area then started to strip naked and effectively terrorize tourists there with scientific equipment while shouting that he was trying to save them. The man later identified as noted Astrophysicist Dr. Erik Selvig has been called in for questioning by police."
114,Darcy Lewis,"Come on, this is exciting! Look, the intern is excited."
115,Ian Boothby,Ian.
116,Darcy Lewis,Do you want the phase meter?
117,Jane Foster,No.
118,Darcy Lewis,Bring the phase meter.
119,Darcy Lewis,The toaster looking thing.
120,Ian Boothby,I know what the phase meter is.
121,Jane Foster,How do I change the ring tone on this thing?
122,Darcy Lewis,An Astrophysicist with three degrees should be able to change her own ring tone.
123,Jane Foster,Why are you calling me?
124,Darcy Lewis,"I didn't want to shout.  Intern, the entrance is this way."
125,Ian Boothby,Ian. My name's Ian.
126,Darcy Lewis,I am not getting stabbed in the name of science.
127,Darcy Lewis,"It's okay, we're Americans!"
128,Jane Foster,Is that supposed to make them like us?
129,Maddie,Make it go away...
130,Navid,Ssh!
131,Jane Foster,"Oh, they're kids."
132,Maddie,Are you the police?
133,Jane Foster,"No, we're scientists. Well, I am."
134,Darcy Lewis,Thanks.
135,Navid,We just found it.
136,Jane Foster,Can you show us?
137,Darcy Lewis,That doesn't seem rigged.
138,Darcy Lewis,Where did it go?
139,Darcy Lewis,That's...that's incredible.
140,Darcy Lewis,What happened?
141,Maddie,"Sometimes they come back, sometimes they don't."
142,Darcy Lewis,"I want to throw something. Jane, give me your shoe."
143,Jane Foster,I haven't seen readings like this since...
144,Darcy Lewis,New Mexico?
145,Jane Foster,Don't touch anything!
146,Darcy Lewis,Give me your shoe.
147,Darcy Lewis,Where those the car keys?
148,Jane Foster,Darcy!
149,Malekith,The Aether awakens us. The Convergence returns.
150,Heimdall,You're late.
151,Thor,Merriment can sometimes be a heavier burden than battle.
152,Heimdall,Then you're doing one of them incorrectly.
153,Thor,Perhaps. How fare the stars?
154,Heimdall,Still shining. From here I can see Nine Realms and ten trillion souls.
155,Heimdall,You recall what I told you of the Convergence?
156,Thor,"Yes, the alignment of the worlds. It approaches, doesn't it?"
157,Heimdall,"The universe hasn't seen this marvel since before my watch began. Few can sense, even fewer can see it. A world that's infected can be dangerous. It is truly beautiful."
158,Thor,I see nothing.
159,Heimdall,Or perhaps that is not the beauty you seek.
160,Thor,How is she?
161,Heimdall,"She's quite clever, your mortal. She doesn't know it yet, but she studies the Convergence as well. Even..."
162,Thor,What?
163,Heimdall,I can't see her.
164,Darcy Lewis,Jane! Where the hell were you?
165,Jane Foster,Tell me you didn't call the police!
166,Darcy Lewis,What was I supposed to do?
167,Jane Foster,Not call the police!
168,Darcy Lewis,I was freaking out.
169,Jane Foster,"You call the cops they tell the feds, the next thing you know we have SHIELD crawling all over area fifty-one-ing the place."
170,Darcy Lewis,Jane!
171,Jane Foster,"We had a stable gratification anomaly, we had unheeded access. Our only competition was ten years old!"
172,Darcy Lewis,"Jane, you were gone for five hours!"
173,Jane Foster,What?
174,Darcy Lewis,That's weird.
175,Thor,Jane.
176,Jane Foster,"Sorry. I just needed to make sure you were real, it's been a very strange day."
177,Thor,"Well, I am. Jane..."
178,Jane Foster,Where were you?!
179,Thor,Where were you? Heimdall could not see you.
180,Jane Foster,I was right here where you left me. I was waiting and then I was crying and then I went out looking for you. You said you were coming back
181,Thor,"I know, I know, but the Bifrost was destroyed. The Nine Realms erupted into chaos, wars were raging, marauding hordes were pillaging. I had to put an end to the slaughter."
182,Jane Foster,"As excuses go, that's not terrible. But I saw you on TV, you were...you were in New York!"
183,Thor,"Jane, I fought to protect you from the dangers of my world, but I was wrong, I was a fool.  I believe that fate brought us together. Jane, I don't know where you were or what happened, but I do know this."
184,Jane Foster,What?
185,Thor,I know...
186,Jane Foster,You do?
187,Thor,Do what?
188,Jane Foster,Hey! Is that you?
189,Jane Foster,Uh...we're kind of in the middle of something.
190,Darcy Lewis,Um...I'm pretty sure we are getting arrested.
191,Jane Foster,
192,Darcy Lewis,"Look at you, still all muscly and everything. How's space?"
193,Thor,Space is fine.
194,Jane Foster,Excuse me?
195,Police Officer #1,Are you Jane Foster?
196,Jane Foster,Yes.
197,Police Officer #1,Do you know this man?
198,Jane Foster,He's my intern. My intern's intern.
199,Police Officer #1,"This is private property and you're trespassing, the lot of you. You'll have to come with me."
200,Thor,Jane! Jane?  You alright?
201,Jane Foster,What just happened?
202,Police Officer #2,"Place your hands on your head, step back!"
203,Thor,The woman is unwell.
204,Police Officer #2,She's dangerous.
205,Thor,So am I.
206,Police Officer #2,Requesting armed response officers to the scene.
207,Thor,Hold on to me.
208,Jane Foster,What are you doing?
209,Darcy Lewis,Holy shit!
210,Jane Foster,We have to do that again.  Hi.
211,Heimdall,Welcome to Asgard.
212,Malekith,
213,Algrim,Our survival will be your legacy.
214,Malekith,
215,Jane Foster,What's that?
216,Eir,Be still.
217,Thor,"This is not of Earth, what is it?"
218,Asgardian Nurse,"We do not know, but she will not survive the amount of energy surging within her."
219,Jane Foster,"That's a quantum field generator, isn't it?"
220,Eir,It's a Soul Forge.
221,Jane Foster,Does a Soul Forge transfer molecular energy from one place to another?
222,Eir,Yes.
223,Jane Foster,It's a quantum field generator.
224,Odin,My words are mere noises to you that you ignore them completely?
225,Thor,She's ill.
226,Odin,She is mortal. Illness is their defining trait.
227,Thor,I brought here because we can help her.
228,Odin,She does not belong here in Asgard anymore than a goat belongs at a banquet table.
229,Jane Foster,Did he just...?  Who do you think you are?
230,Odin,I'm Odin. King of Asgard. Protector of the Nine Realms.
231,Jane Foster,"Oh. Well, I'm..."
232,Odin,"I know very well who you are, Jane Foster."
233,Jane Foster,You told your Dad about me?
234,Thor,"Something is within her, father, something I have not seen before."
235,Odin,"Her world has its healers, their called doctors, let them deal with it. Guards, take her back to Midgard."
236,Thor,Don't touch her.
237,Odin,That's impossible.
238,Eir,"The infection, it's defending her."
239,Thor,"No, it's defending itself."
240,Odin,"Come with me. There are relics that predate the universe itself. What lies within her appears to be one of them. The Nine Realms are not eternal. They had a dawn as they will have a dusk.  But before that dawn the dark forces, the Dark Elves, reigned absolute and unchallenged."
241,Thor,"""Born of eternal night, the Dark Elves comes to steal away your light."" They were these stories mother told us as children."
242,Odin,"Their leader, Malekith made a weapon out of that darkness, it was called the Aether. While the other relics often appeared as stones, the Aether is fluid and ever changing. It changes matter into dark matter and seeks out to host bodies, drawing strength from their life force. Malekith sought to use the Aether's power to return the universe to one of darkness. But after eternities of blood shed, my father Bor, finally triumphed, ushering in the peace that lasted thousands of years."
243,Jane Foster,What happened?
244,Odin,He killed them all.
245,Thor,Are you certain? The Aether was said to have been destroyed with them and yet here it is.
246,Odin,The Dark Elves are dead.
247,Jane Foster,Does your book happen to mention how to get it out of me?
248,Odin,"No, it does not."
249,Malekith,
250,Malekith,
251,Algrim,Let my life be sacrificed. The same as our people.
252,Malekith,And then no power of our enemies will stop me.
253,Algrim,
254,Loki,Odin continues to bring me new friends. How thoughtful.
255,Frigga,"The books I sent, do they not interest you?"
256,Loki,"Is that how I'm to while away eternity, reading?"
257,Frigga,"I've done everything in my power to make you comfortable, Loki."
258,Loki,Have you? Does Odin share your concern? Does Thor? It must be so inconvenient them asking after me day and night.
259,Frigga,You know full well it was your actions that brought you here.
260,Loki,"My actions. I was merely giving truth to the lie that I had been fed my entire life, that I was born to be a king."
261,Frigga,A king? A true king admits his faults. What of the lives you took on Earth?
262,Loki,A mere handful compared to the number that Odin has taken himself.
263,Frigga,Your father...
264,Loki,He's not my father!
265,Frigga,Then am I not your mother?
266,Loki,You're not.
267,Frigga,Always so perceptive about everyone but yourself.
268,Jane Foster,"When you came for me, you knew I was in trouble."
269,Thor,"Well Heimdall had lost sight of you, you were no longer on Earth."
270,Jane Foster,"Well, how's that possible?"
271,Thor,"I believe you were in between worlds. The Nine Realms travel within Yggdrasil, orbiting Midgard in much the way your planet orbits the sun. Every five thousand years the worlds align perfectly, we call this the Convergence."
272,Jane Foster,I liked the way you explained that. What's gonna happen to me?
273,Thor,"I'll find a way to save you, Jane."
274,Jane Foster,Your father said there was...
275,Thor,My father doesn't know everything.
276,Frigga,Don't let him hear you say that.
277,Thor,"Jane Foster, please meet Frigga, the Queen of Asgard, my mother."
278,Jane Foster,Hi.
279,Loki,You might want to take the stairs to the left.
280,Frigga,The prisons.
281,Thor,Loki.
282,Frigga,
283,Fandral,It's as if they resent being imprisoned.
284,Volstagg,There's no pleasing some creatures.
285,Thor,Return to your cells and further harm will come to you. You have my word.
286,Odin,"Send a squadron to the weapons vault, defend it at all costs. Seal the dungeon."
287,Frigga,Odin.
288,Odin,"Frigga.  It's a skirmish, nothing to fear."
289,Frigga,You've never been a very good liar.
290,Odin,"Take her to you chambers, I'll come for you when it's safe."
291,Frigga,You take care.
292,Odin,"Despite all I have survived, my queen still worries over me."
293,Frigga,"It's only because I worry over you that you have survived.  Listen to me now, I need you to do everything I ask and no questions."
294,Jane Foster,"Yes, ma'am."
295,Odin,Frigga.
296,Frigga,"Stand down, creature. You may still survive this."
297,Malekith,"I have survived worse, woman."
298,Frigga,Who are you?
299,Malekith,"I am Malekith, and I would have what it is mine.  Witch! Where is the Aether?"
300,Frigga,I'll never tell.
301,Malekith,I believe you.
302,Erik Selvig,"The universe rotates on a five thousand year cycle, and once its cycled all the worlds align."
303,Patient,Yeah. Can I have my shoe back?
304,Algrim,
305,Einherjar Lieutenant,Jane Foster. You need to come with us.
306,Fandral,"We are still unable to restore the palace shields. Our artillery cannot detect them, even Heimdall cannot see them. My King, we are all but defenseless."
307,Thor,She's your prisoner now?
308,Odin,I do not wish to fight with you.
309,Thor,"Nor I with you, but I intend to pursue Malekith."
310,Odin,"We possess the Aether, Malekith will come to us."
311,Thor,"Yes, and you will destroy us."
312,Odin,You overestimate the power of these creatures.
313,Thor,"No, I value our peoples lives. I'll take Jane to the Dark World and draw the enemy away from Asgard. When Malekith pulls the Aether from Jane it will be exposed vulnerable, and I will destroy it and him."
314,Odin,"If you fail, you risk this weapon falling into the hands of our enemies."
315,Thor,The risk is far greater if we do nothing. His ship could be over our heads right now and we'd never even know it.
316,Odin,"If and when he comes, his men will fall by ten thousand Asgardian blades."
317,Thor,And how of our men shall fall on theirs?
318,Odin,"As many as are needed!  We will fight! Until the last Asgardian breath, the last drop of Asgardian blood."
319,Thor,And how are you different from Malekith?
320,Odin,"The difference, my son, is that I will win."
321,Darcy Lewis,Jane isn't called me back. Erik isn't calling me back. Stupid SHIELD isn't calling me back!
322,Ian Boothby,What's SHIELD?
323,Darcy Lewis,It's a secret.
324,News Reporter,"Something else went missing this week when Astrophysicist, Dr. Erik Selvig, notable for his involvement in the Alien invasion in New York streaked nude across Stonehenge."
325,Ian Boothby,"Darcy, you really need to look at this. Your friend Erik, what was his last name again?"
326,News Reporter,...disrobed and began shouting at visitors at the historic site. He was later taken into police custody for psychiatric evaluation. The police are still refusing to confirm...
327,Thor,You're not in Odin's war council?
328,Heimdall,The Bifrost is closed by your father's orders. No one is to come or to go.
329,Thor,"Malekith will return, you know this. I'll need your help."
330,Thor,"I'm not asking you to. The Realms need their All-Father strong and unchallenged, whether he is or not. But he is blinded, Heimdall, by hatred and by grief."
331,Heimdall,As are we all.
332,Thor,Well I see clearly enough.
333,Heimdall,The risks are too great.
334,Thor,"Everything that we do from here on is a risk, there is no other way."
335,Heimdall,What do you require of me?
336,Thor,"What I'm about to ask of you is treason of the highest order. Success will bring us exile and failure shall mean our death. Malekith knew the Aether was here, he can sense its power. If we do nothing he will come for it again, but this time lay waste to all of Asgard.  We must move Jane off world."
337,Sif,The Bifrost has been shut down and the Tesseract locked away in a vault.
338,Heimdall,"There are other paths off Asgard, ways known only to a few."
339,Thor,"One, actually."
340,Volstagg,No.
341,Loki,"Thor, after all this time and now you come to visit me. Why? Have you come to gloat? To mock?"
342,Thor,"Loki, enough. No more illusions."
343,Loki,"Now you see me, brother.  Did she suffer?"
344,Thor,I did not come here to share our grief. Instead I offer you the chance of a far richer sacrament.
345,Loki,Go on.
346,Thor,"I know you seek vengeance as much as I do. You help me escape Asgard and I will grant it to you, vengeance. And afterward, this cell."
347,Loki,You must be truly desperate to come to me for help. What makes you think you can trust me?
348,Thor,"I don't. Mother did. You should know that when we fought each other in the past, I did so with a glimmer of hope that my brother was still in there somewhere. That hope no longer exists to protect you. You betray me and I will kill you."
349,Loki,Hmm. When do we start?
350,Fandral,He will betray you.
351,Thor,He will try.
352,Loki,"This is so unlike you, brother. So clandestine. Are you sure you wouldn't rather just punch your way out?"
353,Thor,If you keep speaking I just might.
354,Loki,Fine. As you wish. I'm not even here.  Is this better?
355,Loki,"Still, we could be less conspicuous."
356,Thor,It will hurt no less when I kill you in this form.
357,Loki,"Very well. Perhaps you prefer one of your new companions, given that you seem to like them so much."
358,Thor,And I thought you liked tricks.
359,Fandral,"Well, what then? Your lovely mortal is being guarded by a legion of our Einherjar who will see you coming from miles away."
360,Thor,I won't be the one who comes for her.
361,Jane Foster,I'm not hungry.
362,Sif,"Good, let's go."
363,Jane Foster,You're...
364,Loki,I'm Loki. You may have heard of...
365,Jane Foster,That was for New York.
366,Loki,I like her.
367,Sif,And what of the All-Father?
368,Heimdall,It is my sworn duty to notify him of crimes against the throne.
369,Odin,You called me here on an urgent matter. What is it?
370,Heimdall,"Treason, my lord."
371,Odin,Whose?
372,Heimdall,Mine.
373,Einherjar Lieutenant,"My King, the mortal has been taken."
374,Odin,"Stop Thor, by any means necessary."
375,Guards,There they are! Take them. On my command.
376,Sif,I'll hold them off. Take her.
377,Thor,Thank you.
378,Sif,Betray him and I'll kill you.
379,Loki,"It's good to see you too, Sif."
380,Volstagg,"Assuming you can get Loki's help, and you can free this mortal, what good would it do? We'd all be dead the minute we step one foot outside the palace."
381,Thor,"That, my friend, is where we won't be leaving by foot."
382,Volstagg,I will give you as much time as I can.
383,Thor,"Thank you, my friend."
384,Volstagg,If you even think about betraying him...
385,Loki,You'll kill me? Evidently there will be a line.  I thought you said you knew how to fly this thing.
386,Thor,"I said, ""how hard could it be?"""
387,Guard,They're on the ship!
388,Loki,"They're on the ship!  Well, whatever you're doing, brother, I suggest you do it faster."
389,Thor,"Shut up, Loki."
390,Loki,You must have missed something.
391,Thor,"No, I didn't, I'm pressing every button on this thing."
392,Loki,"No, don't hit it, just press it gently."
393,Thor,I am pressing it gently. It's not working!
394,Guards,Get him! Get him!
395,Loki,I think you missed a column.
396,Thor,Shut up!
397,Loki,"Look, why don't you let me take over, I'm clearly the better pilot."
398,Thor,"Is that right? Well, out of the two of us which one can actually fly?"
399,Loki,"Oh, dear. Is she dead?"
400,Thor,Jane.
401,Jane Foster,I'm okay.
402,Thor,Not a word.
403,Loki,Now they're following us.  Now they're firing at us!
404,Thor,"Yeah, thank you for the commentary, Loki! It's not at all distracting!"
405,Loki,"Well done, you just decapitated your grandfather."
406,Fandral,
407,Loki,You lied to me. I'm impressed.
408,Thor,"I'm glad you're pleased. Now, do as you promised. Take us to your secret pathway.  Fandral."
409,Fandral,Right.
410,Thor,Loki!
411,Loki,If it were easy everyone would do it.
412,Thor,Are you mad?
413,Loki,Possibly.
414,Algrim,We must attack now.
415,Malekith,
416,Loki,What I could do with the power that flows through those veins.
417,Thor,It would consume you.
418,Loki,"She's holding up alright, for now."
419,Thor,She's strong in ways you'd never even know.
420,Loki,Say goodbye.
421,Thor,Not this day.
422,Loki,"This day, the next, a hundred years, it's nothing. It's a heart beat. You'll never be ready. The only woman whose love you've prized will be snatched from you."
423,Thor,And will that satisfy you?
424,Loki,Satisfaction is not in my nature.
425,Thor,Surrender not in mine.
426,Loki,The son of Odin.
427,Thor,"No, not just of Odin! You think you alone were loved of mother? You had her tricks, but I had her trust!"
428,Loki,Trust. Was that her last expression? Trust? When you let her die!
429,Thor,What help were you in your cell?
430,Loki,Who put me there? Who put me there?!
431,Thor,You know damn well! You know damn well who!  She wouldn't want us to fight.
432,Loki,"Well, she wouldn't exactly be shocked."
433,Thor,I wish I could trust you.
434,Loki,Trust my rage.
435,Desk Officer,"You'll have to sign for your father's belongings, Mr. Selvig."
436,Ian Boothby,"What? Oh, yeah. My father, Dr. Erik Selvig."
437,Desk Officer,"One; a man's leather wallet, brown. One key ring with three keys. Prescription medicine."
438,Darcy Lewis,Erik.
439,Desk Officer,And...  These.
440,Ian Boothby,"Yeah, those. Thank goodness."
441,Darcy Lewis,Erik.
442,Erik Selvig,Yes?
443,Darcy Lewis,It's uh...Darcy.
444,Erik Selvig,Darcy.  It's so good to see you.
445,Darcy Lewis,Uh...I missed you too.
446,Erik Selvig,How did you find me?
447,Ian Boothby,You were naked on TV.
448,Darcy Lewis,"Okay, time to go. Lots to do."
449,Ian Boothby,I'm uh...Ian by the way. Uh..Darcy's intern. I don't get paid either.  Are you alright?
450,Erik Selvig,I have had a God in my brain. I don't recommend it.
451,Ian Boothby,"Dr. Selvig, your gear is beeping at me."
452,Erik Selvig,"It's happening, sooner than I calculated."
453,Darcy Lewis,"Wait, what's happening?  Birds? Birds are happening?"
454,Ian Boothby,"They're starlings, it's called a murmuration. My dad used to take me bird watching as a kid."
455,Darcy Lewis,Erik?
456,Erik Selvig,Look.
457,Darcy Lewis,Where did they go?  Why are you smiling?
458,Erik Selvig,There's nothing more reassuring than realizing that the world is crazier than you are.
459,Thor,Jane.
460,Jane Foster,Malekith.
461,Thor,"Alright, are you ready?"
462,Loki,I am.  You know this plan of yours is going to get us killed.
463,Thor,"Yeah, possibly."
464,Loki,"You still don't trust me, brother?"
465,Thor,Would you?
466,Loki,"No, I wouldn't."
467,Jane Foster,Thor! No!
468,Loki,"You really think I cared about Frigga, about any of you?  I ask only one thing in return, a good seat from which to watch Asgard burn."
469,Algrim,
470,Malekith,Look at me.
471,Thor,"Loki, now!"
472,Loki,"See you in hell, monster!"
473,Thor,"No. No, no, no! Oh, you fool, you didn't listen!"
474,Loki,I know. I'm a fool. I'm a fool!
475,Thor,"Stay with me, okay?"
476,Loki,I'm sorry. I'm sorry.
477,Thor,Shh.
478,Loki,I'm sorry.
479,Thor,It's okay.  It's alright. I'll tell father what you did here today.
480,Loki,I didn't do it for him.
481,Thor,No!
482,Jane Foster,"He's gonna unleash it, not just on Asgard or on a star, Malekith is gonna destroy everything."
483,Thor,"How? Jane, how?"
484,Jane Foster,I saw him on Earth. Why would he go to Earth?
485,Thor,The Convergence.
486,Jane Foster,"Oh, God. None of this would have happened if I hadn't found the Aether."
487,Thor,Then Malekith would have only possessed it that much sooner.
488,Jane Foster,I only found it because I was looking for you.
489,Thor,Jane.
490,Jane Foster,Now we're trapped here.
491,Thor,It's not me.
492,Jane Foster,Hello?
493,Richard,"Hi, Jane, it's Richard."
494,Jane Foster,Richard?! Where are you?
495,Richard,I'm still in the office. It's...It's been a crazy day here today.
496,Jane Foster,"Oh, my God! This is amazing."
497,Richard,Is it? I quite enjoyed our lunch despite never actually ordering anything.
498,Jane Foster,How am I getting service here?
499,Richard,Is this a bad time? Do you want me to try you there?
500,Jane Foster,"No, no, no, no! Please, whatever you do, do not hang up the phone."
501,Richard,Okay then. I was just wondering if you want to try again? Uh...maybe dinner next time.
502,Jane Foster,"Uh...yeah, yeah, yeah. Um...just stay on the phone, okay?"
503,Richard,"Yeah, I will."
504,Jane Foster,"Oh, my God."
505,Richard,Am I interrupting something.
506,Jane Foster,"No, no, no, nothing at all.  Come on."
507,Richard,"I'm losing you there, are you in a tunnel?"
508,Thor,Where are we going?
509,Richard,
510,Thor,Why are there so many shoes in here?
511,Richard,I'll just text her.
512,Darcy Lewis,Jane!
513,Jane Foster,Hey.
514,Darcy Lewis,"You can't just leave like that, the whole world is going crazy!"
515,Jane Foster,Erik?!
516,Erik Selvig,"Jane, how wonderful!  You've been to Asgard."
517,Jane Foster,Where are your pants?
518,Ian Boothby,"Oh, uh...he uh...he says it helps him think."
519,Jane Foster,"Okay. Well, I'm gonna need everything you got on this. All the work you've been doing on gravimetric anomalies, everything."
520,Erik Selvig,Okay.
521,Thor,"Are you well, Erik?"
522,Erik Selvig,"Your brother is not coming, is he?"
523,Thor,Loki is dead.
524,Erik Selvig,"Oh, thank God.  I...I'm so sorry."
525,Thor,Thank you.
526,Einherjar Guard,"Forgive me, my liege. I've returned from the Dark World with news."
527,Odin,Thor?
528,Einherjar Guard,"There's no sign of Thor, or the weapon, but..."
529,Odin,What?
530,Einherjar Guard,We found a body.
531,Odin,Loki.
532,Jane Foster,Malekith is going to fire the Aether at a spot where all the nine worlds are connected.
533,Erik Selvig,"Amplifying the weapon's impact. With each additional world, the power will increase exponentially. The effect would be universal."
534,Thor,"Yes, well the alignment is only temporary. He must be in exactly at the right place at the right time."
535,Darcy Lewis,"Well, how do we know where that is?"
536,Erik Selvig,"We follow the directions. This has happened before, thousands of years ago, and The Ancients were there to see it."
537,Ian Boothby,Greenwich?
538,Jane Foster,"The walls between worlds will be almost non-existent. Physics is gonna go ballistic. Increase and decrease in gravity, spatial extrusions. The very fabric of reality is gonna be torn apart."
539,Erik Selvig,I better get my pants.
540,Darcy Lewis,"Focus, this is important. We have to hammer them in all around the site and then Jane and Erik will activate them from the tower."
541,Ian Boothby,They're taped together!
542,Darcy Lewis,Do you even know what these things do?
543,Ian Boothby,No.
544,Darcy Lewis,"Neither do I.  Come on, come on!"
545,Ian Boothby,Fine!
546,Darcy Lewis,Holy shit!
547,Malekith,"You needn't have come so far, Asgardian! Death would have come to you soon enough."
548,Thor,Not by your hand!
549,Malekith,Your universe was never meant to be. Your world and your family will be extinguished.
