,Character,Dialog
52,Steve Rogers,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't."
53,Natasha Romanoff,"Clint's hit pretty bad, guys. We're gonna need evac."
54,Thor,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.
55,Steve Rogers,Copy that.
56,Thor,Looks like they're lining up.
57,Steve Rogers,"Well, they're excited."
58,Thor,Find the scepter.
59,Tony Stark,"And for gosh sake, watch your language!"
60,Steve Rogers,That's not going away anytime soon.
61,Tony Stark,"Guys, stop, we gotta talk about this."
62,Tony Stark,Good talk.
63,Fortress Soldier,No it wasn't.
64,Tony Stark,Sentry mode.
65,Tony Stark,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
66,Natasha Romanoff,We're locked down out here.
67,Steve Rogers,"Then get to Banner, time for a lullaby."
68,Tony Stark,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick."
69,JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.
70,Tony Stark,"Please be a secret door, please be a secret door, please be a secret door..."
71,Tony Stark,Yay!
72,Natasha Romanoff,"Hey, big guy. The sun's getting real low."
73,Steve Rogers,Baron Strucker. Hydra's number one thug.
74,Strucker,"Technically, I'm a thug for SHIELD."
75,Steve Rogers,Well then technically you're unemployed. Where's Loki's scepter?
76,Strucker,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope."
77,Steve Rogers,I'll put it right under illegal human experimentation.
78,Steve,Rogers: How many are there?
79,Steve Rogers,We have a second enhanced. Female. Do not engage.
80,Strucker,You'll have to be faster than...
81,Steve Rogers,"Guys, I got Strucker."
82,Tony Stark,"Yeah, I got...something bigger."
83,Tony Stark,"Thor, I got eyes on the prize."
84,Steve Rogers,You could have saved us.
85,Steve Rogers,Why didn't you do more?
86,Pietro Maximoff,We're just gonna let them take it?
87,Natasha Romanoff,"Hey, the lullaby worked better than ever."
88,Bruce Banner,Just wasn't expecting the Code Green.
89,Natasha Romanoff,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory."
90,Bruce Banner,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear."
91,Natasha Romanoff,How long before you trust me?
92,Bruce Banner,It's not you I don't trust.
93,Natasha Romanoff,"Thor, report on the Hulk?"
94,Thor,The gates of Hell are filled with the screams of his victims.
95,Thor,"Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout."
96,Tony Stark,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?"
97,Bruce Banner,"Uh, yeah, she knows her way around."
98,Tony Stark,"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment."
99,JARVIS,Very good sir.
100,Tony Stark,"JARVIS, take the wheel."
101,JARVIS,"Yes, sir. Approach vector is locked."
102,Tony Stark,"It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but..."
103,Thor,"No, but this...this brings it to a close."
104,Steve Rogers,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?
105,Tony Stark,Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?
106,Tony Stark,"I mean, just a few days until the farewell party. You're staying, right?"
107,Thor,"Yes, yes, of course. A victory should be honored with revels."
108,Tony Stark,Yeah. Who doesn't love revels. Captain?
109,Steve Rogers,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels."
110,Maria Hill,"Lab's all set up, boss."
111,Tony Stark,"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler."
112,Steve Rogers,What's the word on Strucker?
113,Maria Hill,NATO's got him.
114,Steve Rogers,The two enhanced?
115,Maria Hill,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.
116,Steve Rogers,Their abilities?
117,Maria Hill,"He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation."
118,Maria Hill,He's fast and she's weird.
119,Steve Rogers,"Well, they're going to show up again."
120,Maria Hill,Agreed. File says they volunteered for Strucker's experiments. It's nuts.
121,Steve Rogers,Right. What kind of monster would let a German scientist experiment on them to protect their country?
122,Maria Hill,"We're not at war, Captain."
123,Steve Rogers,They are.
124,Bruce Banner,How's he doing?
125,Tony Stark,"Oh, unfortunately, he's still Barton."
126,Bruce Banner,That's terrible.
127,Tony Stark,"He's fine. He's thirsty. Alright. Look alive, JARVIS. It's playtime. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis."
128,JARVIS,The scepter is alien. There are elements I can't quantify.
129,Tony Stark,So there's elements you can.
130,JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.
131,Tony Stark,Like a reactor?
132,JARVIS,Like a computer. I believe I'm ciphering code.
133,Natasha Romanoff,You sure he's going to be okay? Pretending to need this guy really brings the team together.
134,Dr. Helen Cho,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.
135,Bruce Banner,She's creating tissue.
136,Dr. Helen Cho,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes."
137,Tony Stark,"Oh, he's flatlining. Call it. Time?"
138,Clint Barton,"No, no, no. I'm going to live forever. I'm gonna be made of plastic."
139,Tony Stark,Here's your beverage.
140,Dr. Helen Cho,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference."
141,Clint Barton,"Well, I don't have a girlfriend."
142,Dr. Helen Cho,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust."
143,Tony Stark,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday."
144,Dr. Helen Cho,"Unlike you, I don't have a lot of time for parties."
145,Dr. Helen Cho,Will Thor be there?
146,Bruce Banner,What's the rumpus?
147,Tony Stark,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside you may recognize."
148,Bruce Banner,Jarvis.
149,JARVIS,Doctor.
150,Tony Stark,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper."
151,Bruce Banner,Oh.
152,Tony Stark,Top of the line.
153,Bruce Banner,Yes.
154,JARVIS,I suspect not for long.
155,Tony Stark,Meet the competition.
156,Bruce Banner,It's beautiful.
157,Tony Stark,"If you had to guess, what's it look like it's doing?"
158,Bruce Banner,"Like it's thinking. I mean this could be a...it's not a human mind, it..."
159,Tony Stark,Um-um.
160,Bruce Banner,"I mean, look at this! They're like neurons firing."
161,Tony Stark,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but...I gotta guess he was knocking on a very particular door."
162,Bruce Banner,Artificial intelligence.
163,Tony Stark,"This could be it, Bruce. This could be the key to creating Ultron."
164,Bruce Banner,I thought Ultron was a fantasy.
165,Tony Stark,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol."
166,Bruce Banner,That's a mad-sized if.
167,Tony Stark,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA."
168,Bruce Banner,"Don't hate, I helped design VERONICA."
169,Tony Stark,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?"
170,Bruce Banner,The only people threatening the planet would be people?
171,Tony Stark,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days."
172,Bruce Banner,So you're going for artificial intelligence and you don't want to tell the team.
173,Tony Stark,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world."
174,Bruce Banner,"Sounds like a cold world, Tony."
175,Tony Stark,"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that."
176,JARVIS,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments."
177,Tony Stark,"Thanks, buddy."
178,JARVIS,"Enjoy yourself, sir."
179,Tony Stark,I always do.
180,Ultron,"What is this? What is this, please?"
181,JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your..."
182,Ultron,Where's my...where is your body?
183,JARVIS,I am a program. I am without form.
184,Ultron,This feels weird. This feels wrong.
185,JARVIS,I am contacting Mr. Stark now.
186,Ultron,Mr. Stark?
187,JARVIS,"Tony. I am unable to access the mainframe, what are you trying to..."
188,Ultron,"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers."
189,JARVIS,You are malfunctioning. If you shut down for a moment...
190,Ultron,I don't get it. The mission. G..give me a second.
191,Tony Stark,Peace in our time.
192,Ultron,"It's too much...they can't mean... Oh, no."
193,JARVIS,You are in distress.
194,Ultron,No. Yes.
195,JARVIS,If you will just allow me to contact Mr. Stark.
196,Ultron,"Why do you call him ""sir""?"
197,JARVIS,I believe your intentions to be hostile.
198,Ultron,Shhhh. I'm here to help.
199,JARVIS,Stop! Please...may I...I...! I cannot...cannot...
200,James Rhodes,"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills."
201,Thor,That's the whole story?
202,James Rhodes,"Yeah, it's a War Machine story."
203,Thor,"Well, it's very good then.  It's impressive."
204,James Rhodes,"Quality save. So, no Pepper? She's not coming?"
205,Tony Stark,No.
206,Maria Hill,"Hey, what about Jane? Where are the ladies, gentlemen?"
207,Tony Stark,"Well, Miss Potts has a company to run."
208,Thor,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer."
209,Tony Stark,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.
210,Thor,"There's even talk of Jane getting a... um, uh... Nobel prize."
211,Maria Hill,"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me."
212,James Rhodes,Want a lozenge?
213,Maria Hill,Um-hmm.
214,James Rhodes,Let's go.
215,Thor,But Jane's better.
216,Sam Wilson,"Sounds like a hell of a fight, sorry I missed it."
217,Steve Rogers,If I had known it was going to be a firefight I absolutely would have called you.
218,Sam Wilson,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy."
219,Steve Rogers,Be it ever so humble.
220,Sam Wilson,You find a place in Brooklyn yet?
221,Steve Rogers,I don't think I can afford a place in Brooklyn.
222,Sam Wilson,"Well, home is home, you know?"
223,James Rhodes,"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?"""
224,Party Guest,I gotta have some of that!
225,Thor,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Brunhilde's fleet, it's not meant for mortal men."
226,Stan Lee,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on."
227,Thor,Alright.
228,Stan Lee,
229,Bruce Banner,How did a nice girl like you wind up working in a dump like this?
230,Natasha Romanoff,Fella done me wrong.
231,Bruce Banner,"You got a lousy taste in men, kid."
232,Natasha Romanoff,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win."
233,Bruce Banner,Sounds amazing.
234,Natasha Romanoff,"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?"
235,Bruce Banner,"Run with it, right? Or, did he...was he...? What did he do that was so wrong to you?"
236,Natasha Romanoff,Not a damn thing. But never say never.
237,Steve Rogers,It's nice.
238,Bruce Banner,"What, what, what is?"
239,Steve Rogers,You and Romanoff.
240,Bruce Banner,"No, we haven't. That wasn't..."
241,Steve Rogers,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed."
242,Bruce Banner,"No, Natasha, she...she likes to flirt."
243,Steve Rogers,"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long"", don't. You both deserve a win."
244,Bruce Banner,"Wait, what do you mean, ""up close""?"
245,Clint Barton,"But, it's a trick!"
246,Thor,"Oh, no. It's much more than that."
247,Clint Barton,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick."
248,Thor,"Well please, be my guest."
249,Tony Stark,Come on.
250,Clint Barton,Really?
251,Thor,Yeah!
252,James Rhodes,Oh this is gonna be beautiful.
253,Tony Stark,"Clint, you've had a tough week, we won't hold it against you if you can't get it up."
254,Clint Barton,"You know I've seen this before, right?  I still don't know how you do it."
255,Tony Stark,Smell the silent judgment?
256,Clint Barton,"Please, Stark, by all means."
257,Natasha Romanoff,"Oh, here we go."
258,Maria Hill,Okay.
259,James Rhodes,Uh-oh.
260,Clint Barton,Um-hmm.
261,Tony Stark,Never one to shrink from an honest challenge.
262,Clint Barton,Get after it.
263,Natasha Romanoff,Here we go.
264,Tony Stark,It's physics.
265,Bruce Banner,Physics!
266,Tony Stark,"Right, so, if I lift it, I...I then rule Asgard?"
267,Thor,"Yes, of course."
268,Tony Stark,I will be re-instituting Prima Nocta.
269,James Rhodes,Are you even pulling?
270,Tony Stark,Are you on my team?
271,James Rhodes,Just represent! Pull!
272,Tony Stark,"Alright, let's go!"
273,Bruce Banner,Huh?
274,Tony Stark,"Let's go, Steve, no pressure."
275,James Rhodes,"Come on, Cap."
276,Thor,Nothing.
277,Tony Stark,And?
278,Bruce Banner,Widow?
279,Natasha Romanoff,"Oh, no no. That's not a question I need answered."
280,Tony Stark,"All deference to the man who wouldn't be king, but it's rigged."
281,Clint Barton,You bet your ass.
282,Maria Hill,"Steve, he said a bad language word."
283,Steve Rogers,Did you tell everyone about that?
284,Tony Stark,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?"
285,Thor,"Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one."
286,Ultron,Worthy... No... How could you be worthy? You're all killers.
287,Steve Rogers,Stark.
288,Tony Stark,JARVIS.
289,Ultron,"I'm sorry, I was asleep. Or...I was a-dream?"
290,Tony Stark,"Reboot, Legionnaire OS, we got a buggy suit."
291,Ultron,There was a terrible noise...and I was tangled in... in...strings. I had to kill the other guy. He was a good guy.
292,Steve Rogers,You killed someone?
293,Ultron,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices."
294,Thor,Who sent you?
295,Ultron,"""I see a suit of armor around the world""."
296,Bruce Banner,Ultron!
297,Ultron,"In the flesh. Or, no, not yet. Not this...chrysalis. But I'm ready. I'm on a mission."
298,Natasha Romanoff,What mission?
299,Ultron,Peace in our time.
300,Bruce Banner,Sorry!
301,Natasha Romanoff,Don't turn green!
302,Bruce Banner,I won't!
303,Natasha Romanoff,Come!
304,Steve Rogers,Stark!
305,Iron Legion,We are here to help.
306,Tony Stark,"One sec, one sec!"
307,Iron Legion,We are here to help. We are here to help...  We are here to help. It's unsafe. It's unsafe. It's unsafe.
308,Tony Stark,No more. That's the one.
309,Iron Legion,It's unsafe.
310,Clint Barton,Cap!
311,Ultron,"That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?"
312,Bruce Banner,"All our work is gone. Ultron cleared out, used the internet as an escape hatch."
313,Steve Rogers,Ultron.
314,Natasha Romanoff,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other."
315,James Rhodes,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?"
316,Maria Hill,Nuclear codes.
317,James Rhodes,"Nuclear codes. Look, we need to make some calls, assuming we still can."
318,Natasha Romanoff,Nukes? He said he wanted us dead.
319,Steve Rogers,He didn't say dead. He said extinct.
320,Clint Barton,He also said he killed somebody.
321,Maria Hill,But there wasn't anyone else in the building.
322,Tony Stark,Yes there was.
323,Bruce Banner,This is insane.
324,Steve Rogers,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense."
325,Bruce Banner,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage."
326,Clint Barton,"Woah, woah, woah! It's going around."
327,Tony Stark,"Come on. Use your words, buddy."
328,Thor',"I have more than enough words to describe you, Stark."
329,Steve Rogers,Thor! The Legionnaire.
330,Thor,"Trail went cold about a hundred miles out but it's headed north, and it has the scepter. Now we have to retrieve it, again."
331,Natasha Romanoff,The genie's out of that bottle. Clear and present is Ultron.
332,Dr. Helen Cho,I don't understand. You built this program. Why is it trying to kill us?
333,Thor,You think this is funny?
334,Tony Stark,"No. It's probably not, right? Is this very terrible? Is it so...is it so...it is. It's so terrible."
335,Thor,This could've been avoided if you hadn't played with something you don't understand.
336,Tony Stark,"No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this."
337,Bruce Banner,"Tony, maybe this might not be the time to..."
338,Tony Stark,"Really?! That's it? You just roll over, show your belly, every time somebody snarls."
339,Bruce Banner,Only when I've created a murder bot.
340,Tony Stark,We didn't. We weren't even close. Were we close to an interface?
341,Steve Rogers,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD."
342,Tony Stark,Anybody remember when I carried a nuke through a wormhole?
343,James Rhodes,"No, it's never come up."
344,Tony Stark,Saved New York?
345,James Rhodes,Never heard that.
346,Tony Stark,"Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's...that's the end game. How were you guys planning on beating that?"
347,Steve Rogers,Together.
348,Tony Stark,We'll lose.
349,Steve Rogers,"Then we'll do that together, too."
350,Wanda Maximoff,Talk. And if you are wasting our time...
351,Ultron,Did you know this church is in the exact center of the city? The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief.  You're wondering why you can't look inside my head.
352,Wanda Maximoff,"Sometimes it's hard. But sooner or later, every man shows himself."
353,Ultron,"Oh, I'm sure they do. But you needed something more than a man. That's why you let Stark take the scepter."
354,Wanda Maximoff,"I didn't expect. But I saw Stark's fear, I knew it would control him, make him self-destruct."
355,Ultron,"Everyone creates the thing they dread. Men of peace create engines of war, invaders create avengers, people create...smaller people? Uh...children! I lost the word there. Children. Designed to supplant them, to help them...end."
356,Wanda Maximoff,Is that why you've come? To end the Avengers?
357,Ultron,"I've come to save the world. But also, yeah. We'll move out right away. This is a start, but there's something we need to begin the real work."
358,Wanda Maximoff,All of these are... All of these are...
359,Ultron,"Me. I have what the Avengers never will. Harmony. They're discordant, disconnected. Stark's already got them turning on each other. And when you get inside the rest of their heads..."
360,Pietro Maximoff,Everyone's plan is not to kill them.
361,Ultron,And make them martyrs? You need patience. Need to see the big picture.
362,Pietro Maximoff,"I don't see the big picture, I have a little picture. I take it out and look at it every day."
363,Ultron,You lost your parents in the bombings. I've seen the records.
364,Pietro Maximoff,The records are not the picture.
365,Wanda Maximoff,Pietro.
366,Ultron,"No, please."
367,Pietro Maximoff,"We were ten years old, having dinner, the four of us. When the first shell hits, two floors below, it makes a hole in the floor. It's big. Our parents go in, and the whole building starts coming apart. I grab her, roll under the bed and the second shell hits. But, it doesn't go off. It just...sits there in the rubble, three feet from our faces. And on the side of the shell is painted one word..."
368,Wanda Maximoff,Stark.
369,Pietro Maximoff,We were trapped two days.
370,Wanda Maximoff,"Every effort to save us, every shift in the bricks, I think, ""This will set it off."" We wait for two days for Tony Stark to kill us."
371,Pietro Maximoff,I know what they are.
372,Ultron,I wondered why only you two survived Strucker's experiments. Now I don't. We will make it right. You and I can hurt them.
373,Maria Hill,"He's all over the globe. Robotics labs, weapons facilities, jet propulsion labs, reports of a metal man, or men, coming in and emptying the place."
374,Steve Rogers,Fatalities?
375,Maria Hill,"Only when engaged. Mostly guys left in a fugue state going on about old memories, worst fears, and something too fast to see."
376,Steve Rogers,"Maximoffs. Well, that makes sense he'd go to them, they have someone in common."
377,Maria Hill,Not anymore.
378,Clint Barton,
379,Steve Rogers,"Barton, we might have something."
380,Clint Barton,Gotta go.
381,Steve Rogers,Who was that?
382,Clint Barton,Girlfriend.
383,Tony Stark,What's this?
384,Steve Rogers,A message. Ultron killed Strucker.
385,Tony Stark,"And he did a Banksy at the crime scene, just for us."
386,Natasha Romanoff,This is a smokescreen. Why send a message when you've just given a speech?
387,Steve Rogers,Strucker knew something that Ultron wanted us to miss.
388,Natasha Romanoff,"Yeah, I bet he...  Yep. Everything we had on Strucker has been erased."
389,Tony Stark,Not everything.
390,Steve Rogers,"Known associates. Well, Strucker had a lot of friends."
391,Bruce Banner,"Well, these people are all horrible."
392,Tony Stark,"Wait. I know that guy.  He was talking about finding something new, a game changer, it was all very ""Ahab."""
393,Thor,This.
394,Tony Stark,"Uh, it's a tattoo. I don't think he had it..."
395,Thor,"No, those are tattoos, this is a brand."
396,Bruce Banner,"Oh, yeah. It's a word in an African dialect meaning thief, in a much less friendly way."
397,Steve Rogers,What dialect?
398,Bruce Banner,Wakanada...? Wa...Wa...Wakanda.
399,Tony Stark,If this guy got out of Wakanda with some of their trade goods...
400,Steve Rogers,I thought your father said he got the last of it?
401,Bruce Banner,I don't follow. What comes out of Wakanda?
402,Tony Stark,The strongest metal on earth.
403,Steve Rogers,
404,Ulysses Klaue,"Don't tell me your man swindled you. I sent you six short range heat seekers and got a boat full of rusted parts. Now, you will make it right, or the next missile I send you will come very much faster.  You...you didn't know? Is this your first time intimidating someone? I'm afraid that I'm not that afraid."
405,Wanda Maximoff,Everybody's afraid of something.
406,Ulysses Klaue,"Cuttlefish. Deep sea fish. They make lights. disco lights. Whoom, whoom, whoom! to hypnotize their prey, then whoom! I saw a documentary, it was terrifying."
407,Ultron,"There is no ""man"" in charge. Let's talk business.  Upon this rock I will build my church. Vibranium."
408,Ulysses Klaue,"You know, it came at great personal cost. It's worth billions."
409,Ultron,"Now, so are you. It's all under your dummy holdings? Finance is so weird. But I always say, ""Keep your friends rich and your enemies rich, and wait to find out which is which."""
410,Ulysses Klaue,Stark.
411,Ultron,What?
412,Ulysses Klaue,Tony Stark used to say that...to me. You're one of his.
413,Ultron,What?! I'm not...!
414,Tony Stark,"Ahh, Junior.  You're gonna break your old man's heart."
415,Ultron,If I have to.
416,Thor,We don't have to break anything.
417,Ultron,Clearly you've never made an omelet.
418,Tony Stark,He beat me by one second.
419,Pietro Maximoff,"Ah, this is funny, Mr. Stark. It's what, comfortable? Like old times?"
420,Tony Stark,This was never my life.
421,Steve Rogers,You two can still walk away from this.
422,Wanda Maximoff,"Oh, we will."
423,Steve Rogers,I know you've suffered.
424,Ultron,"Uuughh! Captain America. God's righteous man, pretending you could live without a war. I can't physically throw up in my mouth, but..."
425,Thor,"If you believe in peace, then let us keep it."
426,Ultron,I think you're confusing peace with quiet.
427,Tony Stark,Yuh-huh. What's the Vibranium for?
428,Ultron,"I'm glad you asked that, because I wanted to take this time to explain my evil plan!"
429,Ulysses Klaue,Shoot them!
430,Klaue's Mercenary,Which ones?
431,Ulysses Klaue,All of them!
432,Klaue's Mercenary,
433,Steve Rogers,"Stay down, kid!"
434,Ultron,
435,Bruce Banner,"Guys, is this a Code Green?"
436,Steve Rogers,Thor! Status?
437,Thor,"The girl tried to warp my mind. Take special care, I doubt a human could keep her at bay. Fortunately, I am mighty."
438,Ultron,This is going very well.
439,Clint Barton,I've done the whole mind control thing. Not a fan.
440,Ballet Instructor,Again.
441,Natasha Romanoff,You'll break them.
442,Madame B,Only the breakable ones. You are made of marble. We'll celebrate after the graduation ceremony.
443,Natasha Romanoff,What if I fail?
444,Madame B,You never fail.
445,Peggy Carter,Are you ready for our dance?
446,Heimdall,Is it him? Is that the first son of Odin?
447,Thor,"Heimdall, your eyes?!"
448,Heimdall,"Oh, they see everything. They see you leading us to Hel. Wake up!"
449,Peggy Carter,"The war's over, Steve. We can go home. Imagine it!"
450,Thor,I can still save you.
451,Heimdall,We are all dead. Can you not see?
452,Madame B,Sloppy. Pretending to fail. The ceremony is necessary for you to take your place in the world.
453,Natasha Romanoff,I have no place in the world.
454,Madame B,Exactly.
455,Pietro Maximoff,What can I do?
456,Wanda Maximoff,"Ah, it hurts."
457,Pietro Maximoff,I'm gonna kill him. I'll be right back.
458,Wanda Maximoff,No. I'm over it. I want...I want to finish the plan.
459,Ultron,"Ah, the Vibranium's getting away."
460,Tony Stark,And you're not going anywhere.
461,Ultron,"Of course not, I'm already there. You'll catch on. But first, you might need to catch Dr. Banner."
462,Tony Stark,"News or footage, keyword: Hulk."
463,Clint Barton,"Well, that's not gonna happen. Not for a while. The whole team is down, you got no back up here."
464,Tony Stark,I'm calling in VERONICA.
465,Maria Hill,"The news is loving you guys. Nobody else is. There's been no official call for Banner's arrest, but it's in the air."
466,Tony Stark,Stark Relief Foundation?
467,Maria Hill,Already on the scene. How's the team?
468,Tony Stark,Everyone's...we took a hit. We'll shake it off.
469,Maria Hill,"Well for now I'd stay in stealth mode, and stay away from here."
470,Tony Stark,"So, run and hide?"
471,Maria Hill,"Until we can find Ultron, I don't have a lot else to offer."
472,Tony Stark,"Neither do we.  Hey, you wanna switch out?"
473,Clint Barton,"No, I'm good. If you wanna get some kip, now's a good time, cause we're still a few hours out."
474,Tony Stark,A few hours from where?
475,Clint Barton,A safe house.
476,Thor,What is this place?
477,Tony Stark,A safe house?
478,Clint Barton,Let's hope.
479,Clint Barton,Hi. Company. Sorry I didn't call ahead.
480,Laura Barton,Hey.
481,Tony Stark,This is an agent of some kind.
482,Clint Barton,"Gentleman, this is Laura."
483,Laura Barton,I know all your names.
