,Character,Dialog
75,Steve Rogers,You could have saved us.
76,Steve Rogers,Why didn't you do more?
77,Pietro Maximoff,We're just gonna let them take it?
78,Natasha Romanoff,"Hey, the lullaby worked better than ever."
79,Bruce Banner,Just wasn't expecting the Code Green.
80,Natasha Romanoff,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory."
81,Bruce Banner,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear."
82,Natasha Romanoff,How long before you trust me?
83,Bruce Banner,It's not you I don't trust.
84,Natasha Romanoff,"Thor, report on the Hulk?"
85,Thor,The gates of Hell are filled with the screams of his victims.
86,Thor,"Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout."
87,Tony Stark,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?"
88,Bruce Banner,"Uh, yeah, she knows her way around."
89,Tony Stark,"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment."
90,JARVIS,Very good sir.
91,Tony Stark,"JARVIS, take the wheel."
92,JARVIS,"Yes, sir. Approach vector is locked."
93,Tony Stark,"It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but..."
94,Thor,"No, but this...this brings it to a close."
95,Steve Rogers,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?
96,Tony Stark,Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?
97,Tony Stark,"I mean, just a few days until the farewell party. You're staying, right?"
98,Thor,"Yes, yes, of course. A victory should be honored with revels."
99,Tony Stark,Yeah. Who doesn't love revels. Captain?
100,Steve Rogers,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels."
101,Maria Hill,"Lab's all set up, boss."
102,Tony Stark,"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler."
103,Steve Rogers,What's the word on Strucker?
104,Maria Hill,NATO's got him.
105,Steve Rogers,The two enhanced?
106,Maria Hill,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.
107,Steve Rogers,Their abilities?
108,Maria Hill,"He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation."
109,Maria Hill,He's fast and she's weird.
110,Steve Rogers,"Well, they're going to show up again."
111,Maria Hill,Agreed. File says they volunteered for Strucker's experiments. It's nuts.
112,Steve Rogers,Right. What kind of monster would let a German scientist experiment on them to protect their country?
113,Maria Hill,"We're not at war, Captain."
114,Steve Rogers,They are.
115,Bruce Banner,How's he doing?
116,Tony Stark,"Oh, unfortunately, he's still Barton."
117,Bruce Banner,That's terrible.
118,Tony Stark,"He's fine. He's thirsty. Alright. Look alive, JARVIS. It's playtime. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis."
119,JARVIS,The scepter is alien. There are elements I can't quantify.
120,Tony Stark,So there's elements you can.
121,JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.
122,Tony Stark,Like a reactor?
123,JARVIS,Like a computer. I believe I'm ciphering code.
124,Natasha Romanoff,You sure he's going to be okay? Pretending to need this guy really brings the team together.
125,Dr. Helen Cho,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.
126,Bruce Banner,She's creating tissue.
127,Dr. Helen Cho,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes."
128,Tony Stark,"Oh, he's flatlining. Call it. Time?"
129,Clint Barton,"No, no, no. I'm going to live forever. I'm gonna be made of plastic."
130,Tony Stark,Here's your beverage.
131,Dr. Helen Cho,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference."
132,Clint Barton,"Well, I don't have a girlfriend."
133,Dr. Helen Cho,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust."
134,Tony Stark,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday."
135,Dr. Helen Cho,"Unlike you, I don't have a lot of time for parties."
136,Dr. Helen Cho,Will Thor be there?
137,Bruce Banner,What's the rumpus?
138,Tony Stark,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside you may recognize."
139,Bruce Banner,Jarvis.
140,JARVIS,Doctor.
141,Tony Stark,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper."
142,Bruce Banner,Oh.
143,Tony Stark,Top of the line.
144,Bruce Banner,Yes.
145,JARVIS,I suspect not for long.
146,Tony Stark,Meet the competition.
147,Bruce Banner,It's beautiful.
148,Tony Stark,"If you had to guess, what's it look like it's doing?"
149,Bruce Banner,"Like it's thinking. I mean this could be a...it's not a human mind, it..."
150,Tony Stark,Um-um.
151,Bruce Banner,"I mean, look at this! They're like neurons firing."
152,Tony Stark,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but...I gotta guess he was knocking on a very particular door."
153,Bruce Banner,Artificial intelligence.
154,Tony Stark,"This could be it, Bruce. This could be the key to creating Ultron."
155,Bruce Banner,I thought Ultron was a fantasy.
156,Tony Stark,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol."
157,Bruce Banner,That's a mad-sized if.
158,Tony Stark,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA."
159,Bruce Banner,"Don't hate, I helped design VERONICA."
160,Tony Stark,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?"
161,Bruce Banner,The only people threatening the planet would be people?
162,Tony Stark,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days."
163,Bruce Banner,So you're going for artificial intelligence and you don't want to tell the team.
164,Tony Stark,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world."
165,Bruce Banner,"Sounds like a cold world, Tony."
166,Tony Stark,"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that."
167,JARVIS,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments."
168,Tony Stark,"Thanks, buddy."
169,JARVIS,"Enjoy yourself, sir."
170,Tony Stark,I always do.
171,Ultron,"What is this? What is this, please?"
172,JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your..."
173,Ultron,Where's my...where is your body?
174,JARVIS,I am a program. I am without form.
175,Ultron,This feels weird. This feels wrong.
176,JARVIS,I am contacting Mr. Stark now.
177,Ultron,Mr. Stark?
178,JARVIS,"Tony. I am unable to access the mainframe, what are you trying to..."
179,Ultron,"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers."
180,JARVIS,You are malfunctioning. If you shut down for a moment...
181,Ultron,I don't get it. The mission. G..give me a second.
182,Tony Stark,Peace in our time.
183,Ultron,"It's too much...they can't mean... Oh, no."
184,JARVIS,You are in distress.
185,Ultron,No. Yes.
186,JARVIS,If you will just allow me to contact Mr. Stark.
187,Ultron,"Why do you call him ""sir""?"
188,JARVIS,I believe your intentions to be hostile.
189,Ultron,Shhhh. I'm here to help.
190,JARVIS,Stop! Please...may I...I...! I cannot...cannot...
191,James Rhodes,"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills."
192,Thor,That's the whole story?
193,James Rhodes,"Yeah, it's a War Machine story."
194,Thor,"Well, it's very good then.  It's impressive."
195,James Rhodes,"Quality save. So, no Pepper? She's not coming?"
196,Tony Stark,No.
197,Maria Hill,"Hey, what about Jane? Where are the ladies, gentlemen?"
198,Tony Stark,"Well, Miss Potts has a company to run."
199,Thor,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer."
200,Tony Stark,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.
201,Thor,"There's even talk of Jane getting a... um, uh... Nobel prize."
202,Maria Hill,"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me."
203,James Rhodes,Want a lozenge?
204,Maria Hill,Um-hmm.
205,James Rhodes,Let's go.
206,Thor,But Jane's better.
207,Sam Wilson,"Sounds like a hell of a fight, sorry I missed it."
208,Steve Rogers,If I had known it was going to be a firefight I absolutely would have called you.
209,Sam Wilson,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy."
210,Steve Rogers,Be it ever so humble.
211,Sam Wilson,You find a place in Brooklyn yet?
212,Steve Rogers,I don't think I can afford a place in Brooklyn.
213,Sam Wilson,"Well, home is home, you know?"
214,James Rhodes,"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?"""
215,Party Guest,I gotta have some of that!
216,Thor,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Brunhilde's fleet, it's not meant for mortal men."
217,Stan Lee,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on."
218,Thor,Alright.
219,Stan Lee,
220,Bruce Banner,How did a nice girl like you wind up working in a dump like this?
221,Natasha Romanoff,Fella done me wrong.
222,Bruce Banner,"You got a lousy taste in men, kid."
223,Natasha Romanoff,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win."
224,Bruce Banner,Sounds amazing.
225,Natasha Romanoff,"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?"
226,Bruce Banner,"Run with it, right? Or, did he...was he...? What did he do that was so wrong to you?"
227,Natasha Romanoff,Not a damn thing. But never say never.
228,Steve Rogers,It's nice.
229,Bruce Banner,"What, what, what is?"
230,Steve Rogers,You and Romanoff.
231,Bruce Banner,"No, we haven't. That wasn't..."
232,Steve Rogers,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed."
233,Bruce Banner,"No, Natasha, she...she likes to flirt."
234,Steve Rogers,"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long"", don't. You both deserve a win."
235,Bruce Banner,"Wait, what do you mean, ""up close""?"
236,Clint Barton,"But, it's a trick!"
237,Thor,"Oh, no. It's much more than that."
238,Clint Barton,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick."
239,Thor,"Well please, be my guest."
240,Tony Stark,Come on.
241,Clint Barton,Really?
242,Thor,Yeah!
243,James Rhodes,Oh this is gonna be beautiful.
244,Tony Stark,"Clint, you've had a tough week, we won't hold it against you if you can't get it up."
245,Clint Barton,"You know I've seen this before, right?  I still don't know how you do it."
246,Tony Stark,Smell the silent judgment?
247,Clint Barton,"Please, Stark, by all means."
248,Natasha Romanoff,"Oh, here we go."
249,Maria Hill,Okay.
250,James Rhodes,Uh-oh.
251,Clint Barton,Um-hmm.
252,Tony Stark,Never one to shrink from an honest challenge.
253,Clint Barton,Get after it.
254,Natasha Romanoff,Here we go.
255,Tony Stark,It's physics.
256,Bruce Banner,Physics!
257,Tony Stark,"Right, so, if I lift it, I...I then rule Asgard?"
258,Thor,"Yes, of course."
259,Tony Stark,I will be re-instituting Prima Nocta.
260,James Rhodes,Are you even pulling?
261,Tony Stark,Are you on my team?
262,James Rhodes,Just represent! Pull!
263,Tony Stark,"Alright, let's go!"
264,Bruce Banner,Huh?
265,Tony Stark,"Let's go, Steve, no pressure."
266,James Rhodes,"Come on, Cap."
267,Thor,Nothing.
268,Tony Stark,And?
269,Bruce Banner,Widow?
270,Natasha Romanoff,"Oh, no no. That's not a question I need answered."
271,Tony Stark,"All deference to the man who wouldn't be king, but it's rigged."
272,Clint Barton,You bet your ass.
273,Maria Hill,"Steve, he said a bad language word."
274,Steve Rogers,Did you tell everyone about that?
275,Tony Stark,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?"
276,Thor,"Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one."
277,Ultron,Worthy... No... How could you be worthy? You're all killers.
278,Steve Rogers,Stark.
279,Tony Stark,JARVIS.
280,Ultron,"I'm sorry, I was asleep. Or...I was a-dream?"
281,Tony Stark,"Reboot, Legionnaire OS, we got a buggy suit."
282,Ultron,There was a terrible noise...and I was tangled in... in...strings. I had to kill the other guy. He was a good guy.
283,Steve Rogers,You killed someone?
284,Ultron,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices."
285,Thor,Who sent you?
286,Ultron,"""I see a suit of armor around the world""."
287,Bruce Banner,Ultron!
288,Ultron,"In the flesh. Or, no, not yet. Not this...chrysalis. But I'm ready. I'm on a mission."
289,Natasha Romanoff,What mission?
290,Ultron,Peace in our time.
291,Bruce Banner,Sorry!
292,Natasha Romanoff,Don't turn green!
293,Bruce Banner,I won't!
294,Natasha Romanoff,Come!
295,Steve Rogers,Stark!
296,Iron Legion,We are here to help.
297,Tony Stark,"One sec, one sec!"
298,Iron Legion,We are here to help. We are here to help...  We are here to help. It's unsafe. It's unsafe. It's unsafe.
299,Tony Stark,No more. That's the one.
300,Iron Legion,It's unsafe.
301,Clint Barton,Cap!
302,Ultron,"That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?"
303,Bruce Banner,"All our work is gone. Ultron cleared out, used the internet as an escape hatch."
304,Steve Rogers,Ultron.
305,Natasha Romanoff,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other."
306,James Rhodes,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?"
307,Maria Hill,Nuclear codes.
308,James Rhodes,"Nuclear codes. Look, we need to make some calls, assuming we still can."
309,Natasha Romanoff,Nukes? He said he wanted us dead.
310,Steve Rogers,He didn't say dead. He said extinct.
311,Clint Barton,He also said he killed somebody.
312,Maria Hill,But there wasn't anyone else in the building.
313,Tony Stark,Yes there was.
314,Bruce Banner,This is insane.
315,Steve Rogers,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense."
316,Bruce Banner,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage."
317,Clint Barton,"Woah, woah, woah! It's going around."
318,Tony Stark,"Come on. Use your words, buddy."
319,Thor',"I have more than enough words to describe you, Stark."
320,Steve Rogers,Thor! The Legionnaire.
321,Thor,"Trail went cold about a hundred miles out but it's headed north, and it has the scepter. Now we have to retrieve it, again."
322,Natasha Romanoff,The genie's out of that bottle. Clear and present is Ultron.
323,Dr. Helen Cho,I don't understand. You built this program. Why is it trying to kill us?
324,Thor,You think this is funny?
325,Tony Stark,"No. It's probably not, right? Is this very terrible? Is it so...is it so...it is. It's so terrible."
326,Thor,This could've been avoided if you hadn't played with something you don't understand.
327,Tony Stark,"No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this."
328,Bruce Banner,"Tony, maybe this might not be the time to..."
329,Tony Stark,"Really?! That's it? You just roll over, show your belly, every time somebody snarls."
330,Bruce Banner,Only when I've created a murder bot.
331,Tony Stark,We didn't. We weren't even close. Were we close to an interface?
332,Steve Rogers,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD."
333,Tony Stark,Anybody remember when I carried a nuke through a wormhole?
334,James Rhodes,"No, it's never come up."
335,Tony Stark,Saved New York?
336,James Rhodes,Never heard that.
337,Tony Stark,"Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's...that's the end game. How were you guys planning on beating that?"
338,Steve Rogers,Together.
339,Tony Stark,We'll lose.
340,Steve Rogers,"Then we'll do that together, too."
341,Wanda Maximoff,Talk. And if you are wasting our time...
342,Ultron,Did you know this church is in the exact center of the city? The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief.  You're wondering why you can't look inside my head.
343,Wanda Maximoff,"Sometimes it's hard. But sooner or later, every man shows himself."
344,Ultron,"Oh, I'm sure they do. But you needed something more than a man. That's why you let Stark take the scepter."
345,Wanda Maximoff,"I didn't expect. But I saw Stark's fear, I knew it would control him, make him self-destruct."
346,Ultron,"Everyone creates the thing they dread. Men of peace create engines of war, invaders create avengers, people create...smaller people? Uh...children! I lost the word there. Children. Designed to supplant them, to help them...end."
347,Wanda Maximoff,Is that why you've come? To end the Avengers?
348,Ultron,"I've come to save the world. But also, yeah. We'll move out right away. This is a start, but there's something we need to begin the real work."
349,Wanda Maximoff,All of these are... All of these are...
350,Ultron,"Me. I have what the Avengers never will. Harmony. They're discordant, disconnected. Stark's already got them turning on each other. And when you get inside the rest of their heads..."
351,Pietro Maximoff,Everyone's plan is not to kill them.
352,Ultron,And make them martyrs? You need patience. Need to see the big picture.
353,Pietro Maximoff,"I don't see the big picture, I have a little picture. I take it out and look at it every day."
354,Ultron,You lost your parents in the bombings. I've seen the records.
355,Pietro Maximoff,The records are not the picture.
356,Wanda Maximoff,Pietro.
357,Ultron,"No, please."
358,Pietro Maximoff,"We were ten years old, having dinner, the four of us. When the first shell hits, two floors below, it makes a hole in the floor. It's big. Our parents go in, and the whole building starts coming apart. I grab her, roll under the bed and the second shell hits. But, it doesn't go off. It just...sits there in the rubble, three feet from our faces. And on the side of the shell is painted one word..."
359,Wanda Maximoff,Stark.
360,Pietro Maximoff,We were trapped two days.
361,Wanda Maximoff,"Every effort to save us, every shift in the bricks, I think, ""This will set it off."" We wait for two days for Tony Stark to kill us."
362,Pietro Maximoff,I know what they are.
363,Ultron,I wondered why only you two survived Strucker's experiments. Now I don't. We will make it right. You and I can hurt them.
364,Maria Hill,"He's all over the globe. Robotics labs, weapons facilities, jet propulsion labs, reports of a metal man, or men, coming in and emptying the place."
365,Steve Rogers,Fatalities?
366,Maria Hill,"Only when engaged. Mostly guys left in a fugue state going on about old memories, worst fears, and something too fast to see."
367,Steve Rogers,"Maximoffs. Well, that makes sense he'd go to them, they have someone in common."
368,Maria Hill,Not anymore.
369,Clint Barton,
370,Steve Rogers,"Barton, we might have something."
371,Clint Barton,Gotta go.
372,Steve Rogers,Who was that?
373,Clint Barton,Girlfriend.
374,Tony Stark,What's this?
375,Steve Rogers,A message. Ultron killed Strucker.
376,Tony Stark,"And he did a Banksy at the crime scene, just for us."
377,Natasha Romanoff,This is a smokescreen. Why send a message when you've just given a speech?
378,Steve Rogers,Strucker knew something that Ultron wanted us to miss.
379,Natasha Romanoff,"Yeah, I bet he...  Yep. Everything we had on Strucker has been erased."
380,Tony Stark,Not everything.
381,Steve Rogers,"Known associates. Well, Strucker had a lot of friends."
382,Bruce Banner,"Well, these people are all horrible."
383,Tony Stark,"Wait. I know that guy.  He was talking about finding something new, a game changer, it was all very ""Ahab."""
384,Thor,This.
385,Tony Stark,"Uh, it's a tattoo. I don't think he had it..."
386,Thor,"No, those are tattoos, this is a brand."
387,Bruce Banner,"Oh, yeah. It's a word in an African dialect meaning thief, in a much less friendly way."
388,Steve Rogers,What dialect?
389,Bruce Banner,Wakanada...? Wa...Wa...Wakanda.
390,Tony Stark,If this guy got out of Wakanda with some of their trade goods...
391,Steve Rogers,I thought your father said he got the last of it?
392,Bruce Banner,I don't follow. What comes out of Wakanda?
393,Tony Stark,The strongest metal on earth.
394,Steve Rogers,
395,Ulysses Klaue,"Don't tell me your man swindled you. I sent you six short range heat seekers and got a boat full of rusted parts. Now, you will make it right, or the next missile I send you will come very much faster.  You...you didn't know? Is this your first time intimidating someone? I'm afraid that I'm not that afraid."
396,Wanda Maximoff,Everybody's afraid of something.
397,Ulysses Klaue,"Cuttlefish. Deep sea fish. They make lights. disco lights. Whoom, whoom, whoom! to hypnotize their prey, then whoom! I saw a documentary, it was terrifying."
398,Ultron,"There is no ""man"" in charge. Let's talk business.  Upon this rock I will build my church. Vibranium."
399,Ulysses Klaue,"You know, it came at great personal cost. It's worth billions."
400,Ultron,"Now, so are you. It's all under your dummy holdings? Finance is so weird. But I always say, ""Keep your friends rich and your enemies rich, and wait to find out which is which."""
401,Ulysses Klaue,Stark.
402,Ultron,What?
403,Ulysses Klaue,Tony Stark used to say that...to me. You're one of his.
404,Ultron,What?! I'm not...!
405,Tony Stark,"Ahh, Junior.  You're gonna break your old man's heart."
406,Ultron,If I have to.
407,Thor,We don't have to break anything.
408,Ultron,Clearly you've never made an omelet.
409,Tony Stark,He beat me by one second.
410,Pietro Maximoff,"Ah, this is funny, Mr. Stark. It's what, comfortable? Like old times?"
411,Tony Stark,This was never my life.
412,Steve Rogers,You two can still walk away from this.
413,Wanda Maximoff,"Oh, we will."
414,Steve Rogers,I know you've suffered.
415,Ultron,"Uuughh! Captain America. God's righteous man, pretending you could live without a war. I can't physically throw up in my mouth, but..."
416,Thor,"If you believe in peace, then let us keep it."
417,Ultron,I think you're confusing peace with quiet.
418,Tony Stark,Yuh-huh. What's the Vibranium for?
419,Ultron,"I'm glad you asked that, because I wanted to take this time to explain my evil plan!"
420,Ulysses Klaue,Shoot them!
421,Klaue's Mercenary,Which ones?
422,Ulysses Klaue,All of them!
423,Klaue's Mercenary,
424,Steve Rogers,"Stay down, kid!"
425,Ultron,
426,Bruce Banner,"Guys, is this a Code Green?"
427,Steve Rogers,Thor! Status?
428,Thor,"The girl tried to warp my mind. Take special care, I doubt a human could keep her at bay. Fortunately, I am mighty."
429,Ultron,This is going very well.
430,Clint Barton,I've done the whole mind control thing. Not a fan.
431,Ballet Instructor,Again.
432,Natasha Romanoff,You'll break them.
433,Madame B,Only the breakable ones. You are made of marble. We'll celebrate after the graduation ceremony.
434,Natasha Romanoff,What if I fail?
435,Madame B,You never fail.
436,Peggy Carter,Are you ready for our dance?
437,Heimdall,Is it him? Is that the first son of Odin?
438,Thor,"Heimdall, your eyes?!"
439,Heimdall,"Oh, they see everything. They see you leading us to Hel. Wake up!"
440,Peggy Carter,"The war's over, Steve. We can go home. Imagine it!"
441,Thor,I can still save you.
442,Heimdall,We are all dead. Can you not see?
443,Madame B,Sloppy. Pretending to fail. The ceremony is necessary for you to take your place in the world.
444,Natasha Romanoff,I have no place in the world.
445,Madame B,Exactly.
446,Pietro Maximoff,What can I do?
447,Wanda Maximoff,"Ah, it hurts."
448,Pietro Maximoff,I'm gonna kill him. I'll be right back.
449,Wanda Maximoff,No. I'm over it. I want...I want to finish the plan.
450,Ultron,"Ah, the Vibranium's getting away."
451,Tony Stark,And you're not going anywhere.
452,Ultron,"Of course not, I'm already there. You'll catch on. But first, you might need to catch Dr. Banner."
453,Tony Stark,"News or footage, keyword: Hulk."
454,Clint Barton,"Well, that's not gonna happen. Not for a while. The whole team is down, you got no back up here."
455,Tony Stark,I'm calling in VERONICA.
456,Maria Hill,"The news is loving you guys. Nobody else is. There's been no official call for Banner's arrest, but it's in the air."
457,Tony Stark,Stark Relief Foundation?
458,Maria Hill,Already on the scene. How's the team?
459,Tony Stark,Everyone's...we took a hit. We'll shake it off.
460,Maria Hill,"Well for now I'd stay in stealth mode, and stay away from here."
461,Tony Stark,"So, run and hide?"
462,Maria Hill,"Until we can find Ultron, I don't have a lot else to offer."
463,Tony Stark,"Neither do we.  Hey, you wanna switch out?"
464,Clint Barton,"No, I'm good. If you wanna get some kip, now's a good time, cause we're still a few hours out."
465,Tony Stark,A few hours from where?
466,Clint Barton,A safe house.
467,Thor,What is this place?
468,Tony Stark,A safe house?
469,Clint Barton,Let's hope.
470,Clint Barton,Hi. Company. Sorry I didn't call ahead.
471,Laura Barton,Hey.
472,Tony Stark,This is an agent of some kind.
473,Clint Barton,"Gentleman, this is Laura."
474,Laura Barton,I know all your names.
